column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
1982:Q4,17.23,27.35,34.2,67.12,86.34,24.27,9.55,27.91,28.33,14.77,12.32,23.04,100.9,44.99,17.37,22.85,24.3,17.11,26.31,32.41,8.93,,42.09697261045783
1983:Q1,17.6,26.99,34.4,67.8,86.18,26.37,9.71,30.11,28.72,15.35,12.31,22.85,102.13,50.04,17.4,23.03,25.18,17.34,26.11,32.98,9.46,,42.75484542265681
1983:Q2,18.23,26.87,34.77,68.69,86.04,29.46,9.89,30.86,29.06,15.77,12.72,23.05,103.24,51.95,17.48,23.32,25.37,17.67,26.17,33.32,10.04,,43.222703331455264
1983:Q3,18.2,26.83,35.4,69.94,85.77,29.94,10.09,32.49,29.38,16.21,13.61,23.51,104.19,53.35,17.61,23.44,25.46,18.11,26.3,33.6,10.54,,43.61994729285181
1983:Q4,18.81,26.67,35.29,71.02,85.37,30.94,10.3,33.85,29.67,16.53,14.02,23.87,105.1,54.25,17.82,23.34,25.46,18.7,26.5,33.8,11.14,,43.91901564857054
1984:Q1,19.59,26.87,34.85,72.15,84.5,32.72,10.54,34.87,29.95,16.82,14.07,24.21,105.94,53.63,18.12,23.21,26.71,19.36,26.92,34.29,11.4,,44.23634448665055
1984:Q2,20.19,27.15,35.66,73.07,83.96,33.15,10.79,35.05,30.22,17.23,13.7,24.54,106.75,53.93,18.38,23.09,27.9,20,27.18,34.73,11.38,,44.61663982842914
1984:Q3,21.02,27.4,35.67,73.7,83.43,33.6,11.07,36.12,30.49,17.64,13.64,24.9,107.55,54.12,18.63,23.11,29.7,20.56,27.44,35.08,11.23,,44.94275912833282
1984:Q4,21,27.25,34.83,74.34,82.89,35.25,11.33,36.31,30.73,18.11,13.51,25.09,108.27,54.22,18.86,23.14,31.45,21.13,27.7,35.37,10.91,,45.16838734301447
1985:Q1,22.04,27.13,34.79,75.64,82.02,36.68,11.57,36.92,30.93,18.29,13.71,25.04,108.91,54.2,19.02,23.12,32.61,21.87,27.88,35.85,10.59,,45.45279293360717
1985:Q2,22.3,27.28,35.66,76.21,81.62,38.06,11.91,37.67,31.18,18.82,13.73,25.24,109.53,54.11,19.32,23.12,33.11,22.71,28.17,36.39,10.4,,45.84689227749404
1985:Q3,22.61,28.09,36.13,77.14,81.35,40.87,12.36,38.15,31.49,18.95,14.05,25.63,110.1,53.93,19.73,23.17,35.38,23.6,28.5,36.97,10.24,,46.270374402500856
1985:Q4,23.23,28.11,36.96,78.25,81.21,42.04,12.85,38.98,31.81,19.83,14.07,25.99,110.69,53.66,20.26,23.42,38.61,24.33,28.86,37.38,10.22,,46.69829210665018
1986:Q1,23.59,28.13,37.77,79.85,81.72,44.47,13.39,39.98,32.14,20.43,14.06,26.38,111.23,52.27,20.97,23.77,42.55,24.83,28.96,38.09,10.1,,47.24835480998164
1986:Q2,24.43,28.5,39.27,80.5,81.65,44.29,13.97,39.59,32.54,21.21,14.43,26.79,111.92,51.74,21.55,24.08,44.86,25.18,29.48,38.88,9.92,,47.85278202867996
1986:Q3,24.56,29.51,40.67,81.57,81.51,43.26,14.68,40.44,33.01,21.83,14.41,27.33,112.52,51.34,22.04,24.45,47.26,25.74,30.27,39.47,9.86,,48.3675220370404
1986:Q4,24.85,29.83,42.29,82.76,81.31,44.08,15.4,41.64,33.53,22.74,14.24,27.61,113.77,51.12,22.43,24.79,48.48,26.26,31.05,40.08,9.92,,48.989645953363265
1987:Q1,25.14,30.32,44.15,84.28,80.37,41.19,16.1,42.17,34.05,23.63,14.03,27.5,115.21,50.76,22.62,25.11,47.49,27.76,32.35,40.87,10.27,,49.605928827175084
1987:Q2,25.43,30.44,47.35,86.06,80.31,40.8,17.02,41.86,34.7,24.52,13.56,27.9,117.89,50.81,23.1,25.32,50.58,29.15,33.14,41.51,10.71,,50.52275622035223
1987:Q3,25.84,30.94,49.42,87.93,80.44,40.63,18.09,43.8,35.47,25.35,14.27,28.7,122.65,51.65,23.78,25.48,50.01,30.57,34.18,41.97,11.09,,51.65754748187056
1987:Q4,27.08,31.16,50.28,90.09,80.78,40.41,19.28,46.25,36.36,27.17,14.71,29.5,125.1,54.27,24.6,25.71,50.64,31.97,35.49,42.24,11.61,,52.5693542465604
1988:Q1,28.27,31.75,50.39,93.57,81.65,40.99,20.42,46.7,37.35,28.58,14.97,30.62,125.72,56.62,25.56,25.99,52.07,32.9,37.31,42.9,12.03,,53.428070918376626
1988:Q2,29.85,32.89,52.67,97.31,82.25,40.56,21.49,50.24,38.37,30.09,14.79,31.21,126.99,59.68,26.59,26.39,51.19,33.85,38.88,43.74,12.29,,54.50745697097473
1988:Q3,32.67,33.48,55.25,101.42,82.92,41.43,22.49,52.83,39.43,33.62,15.98,30.38,128.11,61.76,27.73,26.82,51.55,34.06,41.23,44.21,12.75,,55.5036824121699
1988:Q4,36,33.75,56.73,106.24,83.66,41.92,23.71,59.34,40.61,36.1,15.89,32.57,129.84,61.85,29.04,27.22,51.41,34.27,42.27,44.62,13.19,,56.563640791697715
1989:Q1,38.9,35.49,59.08,109.45,84.97,41.55,25.15,60.51,41.95,37.22,15.76,38.31,131.97,64.33,30.61,27.66,50.72,35.14,44.88,45.14,13.6,,57.97180331146289
1989:Q2,39.62,36.73,63.79,112.01,85.64,41.31,26.59,65.3,43.12,38.28,16.18,41.04,134.61,69.34,31.98,28.15,48.87,35.47,46.97,45.77,14.23,,59.392808745751616
1989:Q3,39.63,37.43,63.35,113.6,86.18,40.63,27.86,67.24,44.18,39.06,16.61,41.14,137.44,69.56,33.23,28.64,46.9,36.14,48.79,46.72,14.75,,60.37825121317315
1989:Q4,39.81,38.82,63.9,114.59,86.58,40.21,28.98,66.84,45.24,38.75,18.02,43.59,141.69,70.36,34.45,28.95,46.47,36.77,49.05,47.11,15.07,,61.40041438723396
1990:Q1,40.02,40.46,65.53,114.22,86.18,38.39,30.26,65.72,46.23,38.29,18.63,48.36,147.63,74.31,35.68,29.06,46.06,37.58,51.92,47.38,15.71,,62.786490249177575
