column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
2008:Q3,123.79,128.87,126.95,107.94,101.02,122.19,116.08,116.39,120.29,115.11,101.88,115.12,94.2,121.92,108.55,112.43,128.44,115.47,130.46,101.39,137.68,,107.62521091946708
2008:Q4,122.04,128.73,123.17,109.01,101.02,113.09,113.15,112.58,117.07,110.27,98.67,114.13,93.38,121.44,108.49,112.07,123.11,113.2,125.77,100.53,136.78,,106.13799113065922
2009:Q1,121.22,127.61,120.13,110.38,100.86,106.47,110.18,108.98,113.3,106.72,91.76,112.33,92.3,119.75,108.84,110.8,124.49,112.06,123.94,101.21,134.47,,105.26792733683503
2009:Q2,126.24,125.12,123.62,111.75,100.92,106.15,107.82,112.37,110.93,105.21,85.68,111.16,91.35,119.75,109.81,108.91,128.44,114.17,128.9,98.65,132.91,,103.97682830192107
2009:Q3,131.91,125.79,126.34,113.16,101.05,107.29,106.45,116.07,111.01,108.09,77.3,110.31,90.45,120.86,110.47,107.33,132.07,116.68,132.29,96.14,137.95,,103.32224714200032
2009:Q4,139.06,128.84,128.99,114.77,101.24,107.38,105.61,118.19,112.41,110.64,74.65,109.58,89.54,122.28,111.81,106.51,135.06,119.12,134.64,95.45,142.78,,103.56902764399048
2010:Q1,143.9,131.87,133.36,115.97,101.34,108.05,105.07,120.42,114.57,114.94,76.4,109.05,88.57,122.99,113.21,106.18,137.43,119.28,137.25,94.34,148.16,,103.82492466512787
2010:Q2,146.46,132.99,133.95,117.15,101.72,109.89,104.29,122.56,116.51,115.87,83.55,108.61,87.75,123.56,114.39,106.15,140.24,118.06,140.38,93.59,149.33,,103.81196234165135
2010:Q3,144.97,133.15,133.22,118.55,102.23,110.56,103.11,124.71,118.39,116.15,85.06,108.35,87.08,123.48,115.92,105.98,140.68,117.25,141.16,94.46,145.33,,104.11919267188891
2010:Q4,145.5,135.81,137.05,119.94,102.87,110.54,101.87,124.84,120.8,114.91,83.19,108.01,86.36,124.23,117.68,105.48,143.74,117.17,141.68,93.79,145.76,,104.04892495592591
2011:Q1,144.12,137.35,142.29,121.06,103.79,108.78,99.71,124.13,122.78,115.01,84.79,107.79,85.63,126.4,118.42,104.84,147.73,117.49,141.94,91.26,147.99,,103.353487940968
2011:Q2,142.59,138.06,145.54,122.19,104.62,108.92,97.96,125.55,124.63,113.75,82.18,107.18,84.94,129.42,119.25,104.21,149.35,118.55,142.73,89.8,150.46,,102.92812308027845
2011:Q3,140.02,138.75,147.08,123.3,105.52,105.96,96.7,127.31,125.53,114.32,76.97,106.24,84.29,131.32,120.1,103.33,151.36,120.17,142.47,90.57,151.63,,103.28780974536994
2011:Q4,139.2,140.05,148.33,124.63,106.47,103.12,94.93,125.26,125.43,114.39,75.32,105.3,83.67,133.01,119.99,102.11,153.95,120.58,137.51,91,149.03,,103.33603387797386
2012:Q1,139.22,141.3,150.64,125.83,107.85,102.82,92.4,125.05,124.96,115.48,76.62,104.26,83.08,133.76,117.83,100.59,155.77,121.63,136.99,90.09,145.46,,102.9710346958434
2012:Q2,140.03,140.69,152.88,126.58,108.79,103.01,89.77,126.37,124.31,116.02,75.19,103.2,82.52,134.12,117.88,98.5,157.96,123.58,138.55,89.81,147.41,,102.84158103269661
2012:Q3,139.88,141.02,153.14,127.74,109.65,103.29,87.28,128.14,123.54,116.45,76.45,101.87,81.98,133.81,117.73,96.08,161.02,126.01,140.64,90.9,152.69,,103.19913596626743
2012:Q4,142.54,141.87,152.58,129.29,110.43,103.85,85.37,126.71,123.03,117,74.57,101.24,81.52,133.41,119.34,94.47,163.04,128.44,140.64,91.61,157,,103.47211973610075
2013:Q1,142.86,143.92,153.51,130.91,111.13,105.13,84.52,126.49,123.14,118.05,75.14,101.07,81.13,133.1,124.3,92.9,164.11,130.31,141.16,91.9,160.74,,103.74683866160194
