column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1975:Q1,39.1646708070677,44.9979375951425,59.2765104640523,94.6196387894806,111.926075687134,57.4553874419676,86.2909139326817,54.426074068336,43.1984739531169,31.7976697651669,23.5119082787366,80.6069068300803,99.9171956265792,98.194000758563,24.2229442849127,36.5980199360726,56.9557492147263,55.4839371913474,76.4752024096644,53.5825726282545,91.8650192301655,69.0379696166932,60.5977705913082,,66.41176209308748
1975:Q2,38.527556163286,45.6380938550293,59.0538393083026,92.1143808865071,111.654010274285,57.7239052761551,93.0842939497708,53.8495710215502,43.644472009623,30.8053021451019,24.001097025596,77.3910195508409,98.4780185330259,97.2230232597984,25.8434706211941,38.0033406733873,55.9278659647474,52.7758825051245,77.0008489137891,54.2244503438941,89.377353734012,71.5687622357494,60.4290118560816,,66.44952007513386
1975:Q3,38.6369941513143,46.678997848047,59.7471853046451,90.2613887580726,112.23764950963,59.1587504161218,91.5738516647158,53.7158486831526,44.276763985721,30.5039953825389,24.3233475653986,74.2242821913437,96.8689475891937,99.1339341755387,27.2956060914216,39.2489301569055,55.6059972200841,51.6280828854721,77.5903536775038,53.260633983461,87.7022037077998,73.5824107235008,60.3672121517016,,65.80941743430282
1975:Q4,37.7802208861349,48.1464559683031,59.3999573892564,88.532718151605,112.468739322156,58.1330886363021,94.7301292983486,56.3789060773046,45.1156006837495,29.484491507993,24.4869122396761,71.416590895969,94.9753372770004,100.734176917621,28.6219684686733,41.3636647055587,56.2548262069797,50.5819062338239,78.3047917690404,53.3422299218108,87.8560128775452,75.8647116682473,59.3194838193011,,65.67072650867104
1976:Q1,37.9552906519887,50.0390702815081,59.0610981656433,86.9686483616672,113.099353102915,58.5259218188691,92.8699624482438,52.2753696545457,45.7600167709797,29.0931854183248,24.5108507095817,67.9818415662474,92.8944465062775,102.555603742549,29.7887082585746,42.6191567369713,55.1743472911595,49.0663456748559,78.8885138393957,53.2187634678613,87.4887896613263,78.5135696111405,56.3265759550597,,65.22994456524302
1976:Q2,38.1502900189794,51.8121950927396,59.7014619443055,86.0546757933558,113.828370152797,57.397823214523,99.5475784782141,51.6734017324002,46.3441511573877,29.1191506264648,24.5676995581347,64.5274144237306,90.9110167651373,104.787767695515,30.9537990500349,46.7783624110303,56.495257501263,47.8302104117946,79.718705221025,54.9507212948703,85.7196628843187,80.5480415718948,54.9783038808561,,66.02719485239808
1976:Q3,38.3832478239141,53.4291409056321,58.7500531981989,85.1253294964156,114.486452014332,57.4246628181097,98.4244858921313,50.8340929318193,46.825064135996,29.0307748886572,24.6628710217549,61.8256705462253,89.9816652733255,106.219245147999,32.0757383823393,49.8571074030741,56.680012582888,46.9169022943705,80.7339585579997,55.0696550911985,83.687329022786,82.9023716814646,51.2332226556782,,65.90543350130932
1976:Q4,37.9265450482381,54.8495032120569,57.4939522887811,85.2436480577048,115.936339646813,58.696708505806,93.6638469427244,50.1606622836573,47.4269118647937,28.0464731045405,24.7582267221888,59.6207901097076,89.0696675464063,110.728770470918,33.1633462801765,51.2656726970621,57.686683297389,46.2254331572058,81.8930263858106,54.9775587308599,81.407935756232,85.5517433593383,50.7949559332892,,65.69106694088453
1977:Q1,37.9467346048213,56.1512397436384,55.769680394601,84.8211275140188,117.079094852493,57.5825413592803,89.6530937755976,49.1416725609085,48.6120713731306,27.1035544807552,24.5063397002894,58.1869567315793,88.1192463584602,109.640127047595,34.4612656462952,56.5719370692542,57.5592685613763,45.4196642522218,83.3129341495279,55.5589122974304,79.3858917858612,89.2475230968266,48.9337405918229,,65.66775190030556
1977:Q2,37.7618497517908,57.5895902978334,55.1666759622085,85.1895025483823,118.643617453638,59.3942647370425,81.2526363724598,48.218620453568,48.7731325231685,26.6501579109243,24.8555356161345,57.3756167165672,87.760955432419,112.822829446837,35.3914636240515,63.4668904006268,57.161100545034,44.2834192895701,84.1092918561079,57.1469220777068,77.8450613315246,91.1451621228423,49.3830994264438,,66.24443032001854
1977:Q3,37.7693187040454,59.1266768670454,54.461743015271,85.683754092946,120.226033948215,60.5654933798786,89.9287553251202,46.8300158500902,49.1354333233791,26.8726996042357,25.4233922967451,56.6495275851758,87.6656356414873,116.2459855462,36.2019440751289,64.7858460036375,57.3202487320066,43.0570637284784,84.6425747852946,57.5414377927303,75.8787150514378,92.924198709732,47.2182559415864,,66.94360551631964
1977:Q4,37.4470462416586,60.6846688429644,55.9872521026171,85.8078678151062,122.132440589113,62.7828032725167,85.6522152281966,46.185161174614,49.8458124591393,27.2984242626256,26.2552138578202,56.3795036471348,88.1515275824226,120.823309697016,36.8996636879722,64.0672298774355,57.4056261314335,41.4369607081728,84.8692239289956,58.9869674348819,75.1470701682716,94.3206944282079,45.6862398135925,,67.84342903968451
1978:Q1,37.7515763330571,62.1034595248925,55.6961205537632,86.6957918123895,125.159125216751,63.9309411286142,89.6181950755708,46.182925154321,50.267688615988,27.229222640222,27.2637904648089,56.4508829409737,87.9189110912745,116.095588353736,37.1609531833863,64.6024566644845,56.6442376637088,40.5911478266794,84.5930108646555,59.7987836084881,74.7573350188548,94.9108346953962,44.4433220250414,,68.40978416426157
1978:Q2,37.4654338772351,63.3119600838977,55.9096100627246,88.0124828647389,126.577251371877,64.7636254963523,94.0856770275601,45.9100730474666,50.3877334237451,27.9075761909689,28.2244557313525,56.6588425036594,88.0752640929145,119.644966400511,37.7632084820321,68.3405715428885,54.5793048342993,39.7782155096874,84.6963438991526,60.9141106656129,73.4792159323004,94.9747907834659,47.5621686168997,,69.42528684117138
1978:Q3,37.5724997863701,64.3825108616579,56.0062929000017,89.3574294110889,128.164492273438,65.227606217268,91.8114928658022,45.383571457278,50.3379705987311,29.3177666131993,29.0436194138789,57.2750808595583,88.2966545055256,123.311472867814,38.3339942474588,63.8752222614185,55.5445460868074,39.4340785908797,85.0641445798803,61.6448282790596,71.6538587540279,95.2113406982442,47.6501032194036,,69.97099246405324
1978:Q4,37.0010738355436,65.4002160769515,55.1480624376391,90.3139122822123,129.704675369002,64.6735258617319,86.3569197611314,45.0025683816968,50.8041009605351,30.4759344226391,29.7637370805648,56.6231603673871,89.595355170094,132.868475137211,38.8426920050104,62.3032660887908,55.8329774075093,38.709045818168,85.8816703882371,62.1480048113194,72.83818245384,94.8054952562227,50.7856056042683,,70.62808066003164
1979:Q1,37.1194424189455,66.4420837181381,55.2850634193323,90.8210754165774,130.797585721079,64.71581112085,82.5027278040543,44.874440054872,50.8626767828016,31.3726879994586,31.1528908627946,54.3077630270565,90.944511759492,137.903434705837,39.2698441224201,60.1110068021243,55.7485517048728,38.2423337413099,87.4025909695245,63.74135611698,72.434677236442,95.3501852134401,53.8552518510876,,71.51191030364822
1979:Q2,36.9698364591933,67.1791675748377,56.0545412702218,91.2581812734639,130.202478562344,65.609935128055,84.2621270306941,44.7426920617695,51.2033185317819,32.9155184239319,31.461018939876,53.9876538133427,92.1491092909801,139.327709214949,39.5771941293163,60.296630369505,54.9496810737262,37.2726455546462,87.5484580449128,63.9863739032381,72.2708881949055,94.5684815180821,59.9467348820391,,71.99006073717842
1979:Q3,38.7546912668592,67.4355514656394,57.3115728578037,92.4953383116383,129.687063148137,65.2849134275789,80.0755469746491,44.8108622562786,51.3679434442577,33.1845352491953,31.5151484368181,54.9661687356025,93.56748356225,145.543155605548,39.7877048030093,58.6504008286736,54.5489682574321,35.9688869230353,86.7997322618046,63.7952352953981,71.6333350822969,93.3439105376892,63.7833264285483,,72.24050569177108
1979:Q4,40.3132670686967,67.1164194294786,58.6339259353878,93.9213457448083,129.72739511709,63.9631037880469,77.3783778503525,45.1238593214049,52.4008132263726,34.0190895928307,31.3168316953815,55.6005942301294,94.8009064584773,147.277269420253,39.9432866537191,55.422045930923,54.8528242016577,35.0658456462444,85.2817192594,63.6198349588245,72.8496977107841,91.2873225806988,64.2758456370276,,72.44974755319217
1980:Q1,41.5788078883354,66.0452639985884,59.9837408854249,95.4164578872823,126.836003071378,61.3881012718052,76.18253452996,45.6527726838361,54.1124101273306,34.1354667519467,29.9965338142473,55.5680613140071,95.7163518236441,142.195859898664,40.3464997374792,53.3250647896739,55.1718649415391,34.2894528863531,82.6896148680272,62.8177533030684,71.7925662035513,87.8569461526873,60.8203455412717,,71.8546503532837
1980:Q2,42.7303655430075,64.3305880076987,61.571864467153,96.1136226665289,126.530113242311,57.5740112414686,75.1993150030064,46.1706100785412,54.5200939022071,34.2066922379985,29.7019207363848,57.7149255818006,96.6767797541837,142.52125097485,40.3374990836967,52.1556323264299,55.3784898515066,33.8178381031952,80.467161937409,62.1972487535574,74.1730964115455,85.8719005109247,59.2740976583663,,71.83278369046438
1980:Q3,43.0369010841054,62.2641074826081,62.8523613751929,97.0884363030155,127.349313861344,57.1922240551576,81.3922137292578,46.2681140658704,54.6812414699749,34.9404435857365,29.5148028373935,57.5575231210156,98.56354278543,141.226272683232,40.2004382266181,48.5899301506096,54.9456568846024,33.779642993704,78.5244442927049,62.5178123950693,79.1331832384798,83.9564145229269,55.9002257119203,,72.48017900971533
1980:Q4,42.6197755415909,60.0437857825929,65.5369051481465,97.4710038362755,128.085500290951,55.916763398017,83.4959746584294,45.9658958298186,54.7988121732344,33.7780193153474,29.3946265597392,61.8123389320148,100.523478216312,138.843298228174,39.9334318616089,47.256902884216,55.4303303622074,33.7596512449535,76.6603773441899,61.2865603244973,81.8672955855658,82.6070661851276,55.8423928774083,,72.47400038549372
