column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,74.43645279879006,66.37361476815651,70.19697961440296,75.38268657919039,65.98254842094452,70.94081863304434,69.82353463143374,51.17898660031907,67.03631883501019,47.34105258427975,52.56588489727168,63.43054967238181,61.73703826601059,27.477524997336022,36.81580971208268,81.06434160563693,47.638593414352215,83.30340518558928,75.30500668689727,57.43472101650884,94.33210409866253,,60.52102240596922
1975:Q2,73.06023177550317,68.24071645003616,70.90430760458105,74.2893629574242,66.67995617093885,72.39310907959224,70.5407044268089,51.46362934864362,66.97474188604424,45.61120773072542,51.82681666656164,65.39099035206647,62.19159920719345,27.341862597327225,38.07658905979597,82.73378032812825,48.467641782651405,81.65320113014847,75.80635872623965,59.81962696506619,95.09928690721942,,61.66283847376483
1975:Q3,72.51956124997258,69.86556373869811,72.04059096331466,73.51759066420738,67.43251943464755,73.54213915174051,71.13220755472958,51.9691931057081,67.16119870692542,46.12676062932782,51.11454609894074,66.95523662890324,62.611183346348916,27.86941833093642,39.50526459308061,83.04242842904773,49.28381225244607,81.2331387961132,76.23733670978652,58.698086919684116,102.27770748402367,,61.64706251864567
1975:Q4,70.8400935065573,71.32464058611563,72.13215171379855,73.09146471072862,67.65192015572394,74.50385004703898,71.59189968359293,54.56566395687623,67.40087220905866,45.184825397113286,50.41550881692757,68.38359069522225,63.01783957285777,28.342128304526966,40.99564015144203,84.4653847219354,50.17381314262312,80.34568055418542,76.5602315382857,58.991221335006536,104.48425903866821,,61.95251181806284
1976:Q1,70.40538552958753,72.66620004595704,72.3895627887902,73.02662350031194,67.58782567069306,75.31577503100154,71.91929323998436,51.05646443538951,67.48541888658202,45.637919339498005,49.73817868879341,68.69672784640417,63.33739220595106,28.863392318485612,42.32256358335086,84.81681823236345,51.05803220992082,78.63972478366063,76.8491049079019,59.57830902430638,96.86841375802665,,62.212783341527015
1976:Q2,70.5695716982716,73.54227739043333,74.28733337740671,73.00783345722151,67.81474077838361,76.02832056091192,72.11874641848667,51.402505596969995,68.2756846598801,44.90097526968604,49.39117967359032,68.41626293281502,63.891305329228395,29.54463929277856,43.37687257162675,85.02597351173294,51.82806314925591,77.12886597377064,77.13832761880187,59.7905420944145,95.25576749925366,,62.47584470113517
1976:Q3,74.20220314000106,73.951765605252,72.01015807496722,73.02123430837997,68.01958502452297,76.6116347623732,72.19837537911472,50.96774085473876,68.40060610523429,46.411203444957486,49.34913928736001,68.38748899755171,64.16406622373377,29.911797022734223,43.99102312256146,85.90243169884162,52.42401690337686,76.74403002702975,77.34823083863245,60.057717382403496,94.5241670302842,,62.76358384849429
1976:Q4,73.22612053570975,73.91874093612691,74.28828241424031,73.1199076500658,68.55040748020706,77.00664785598705,72.16888160945302,50.85339123138365,68.58169176389899,44.994031690313236,49.505621852978024,68.41944102532169,64.20089417678786,31.142564901735415,44.00481661476757,85.01265204182837,52.89023531799201,76.4395138732582,77.58184972512774,60.21977571637617,94.31315510042012,,62.89238605839449
1977:Q1,72.66146784329976,72.57590162442304,73.06977265943715,73.33766851552602,69.07927467006319,77.02219392369061,71.51335981846836,50.281917356729636,69.20574022288537,43.72147472894384,50.15724013568779,69.06129349314674,64.32543505703406,30.795355499260733,43.803245985366466,86.32856481201178,53.274401061584946,74.860485594688,77.5804130986053,59.98682604847179,103.6753223534792,,62.88353418475434
1977:Q2,72.21418933129037,72.40649717194574,73.92095665019684,73.65680838117608,69.84475289038123,77.29001454724312,71.52897874032156,50.02220394941462,69.29724083676473,43.270636316937704,50.73382038274255,69.83797968893607,64.72436253963166,31.72802114306976,43.68219487497589,85.24838546093939,53.64332696013012,73.06347800246698,77.52613028652536,60.38595984712957,99.12340563652145,,63.14976756123267
1977:Q3,70.74958504324547,72.46523978979641,72.9115410614383,74.09836248052231,70.36512917818193,77.63895952810978,71.6458365695669,49.86831870708306,69.94853189366546,44.078698929640396,51.53767286125786,70.31246804621205,65.5612997678467,32.60691458549003,43.91357199162337,86.59808356590426,54.29200715413374,72.59028193474408,77.45472242213071,61.01143387558763,94.68823621028234,,63.60637756498894
1977:Q4,71.54208639778166,72.76247313517395,74.05625561582093,74.73037408977869,70.94620392196634,78.08952962900266,71.85190140059154,50.33239420977064,71.12745106869976,45.96760326665146,52.66877529787814,70.97445822905634,66.01288271212952,33.803566929551565,44.31879090797828,86.7043819150231,54.368971850459666,72.1485961527674,77.1808551083251,61.94973181117393,95.85919966325183,,64.45238080039779
1978:Q1,73.59767935847752,73.36260627728109,75.68094543541925,75.58911656959899,71.9034352823861,78.6873121800947,72.76583012689491,50.99251945988212,73.16956649280054,45.67134951468866,54.057745392123856,70.86848996229119,66.65422595295173,33.1022314101171,45.28343097133395,87.91400535324352,54.28727917059642,72.59405349568111,77.08722499020641,62.068990327633,97.46431872324887,,64.94075726619977
1978:Q2,72.57214347087343,73.82767138230227,75.40449122484091,76.13965466852873,72.33231930088922,78.98570501685425,72.85726330813156,51.62146868042992,73.58912379166698,47.098650988046984,55.018620011098484,71.8425554261814,66.93482335803232,33.80328751868597,45.94989597768469,88.04271935726685,53.5246223751367,72.90273489229301,76.87227815441197,62.50263702418907,89.18668862309904,,65.25525023817762
