column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1983:Q1,32.73,43.01,42.6,53.06,46.99,43.31,22.53,32.13,42.22,25.22,23.51,27.85,65.37,11.46,33.98,45.74,26.95,28.89,30.94,35.32,9.54,,38.2
1983:Q2,32.08,43.5,42.55,53.45,47.21,43.85,23.07,32.98,43.01,25.94,23.93,28.85,67.26,11.77,34.71,45.83,27.57,29.23,31.63,35.81,9.61,,38.84
1983:Q3,34.63,44,45.76,53.88,47.57,44.52,23.58,33.77,43.72,26.15,24.39,29.79,68.04,12.1,35.41,46.03,28.27,29.75,32.32,36.72,9.85,,39.68
1983:Q4,34.61,44.51,45.22,54.33,48.08,45.33,24.05,34.5,44.35,26.57,24.87,30.69,67.95,12.46,35.8,46.33,28.88,30.45,33.03,37.62,10.24,,40.24
1984:Q1,35.36,44.99,45.41,54.86,48.74,47.04,24.34,35,44.73,27.25,25.54,31.47,68.64,12.97,36.27,46.93,29.45,31.53,33.65,38.7,10,,41.02
1984:Q2,36.13,45.52,47.22,55.36,49.3,47.81,24.8,35.69,45.43,27.66,26.03,32.34,69.41,13.34,36.68,47.35,30.01,32.49,34.39,39.64,11.71,,41.83
1984:Q3,36.15,46.06,48.04,55.89,49.78,48.4,25.29,36.4,46.07,28.12,26.5,33.23,69.57,13.69,36.97,47.79,30.4,33.52,35.16,40.46,11.71,,42.43
1984:Q4,36.98,46.63,48.81,56.43,50.2,48.82,25.8,37.11,46.86,29.36,26.95,34.15,72.18,14.02,37.43,48.24,30.99,34.67,36.01,40.98,11.65,,43.29
1985:Q1,37.97,47.21,49.25,57.02,50.55,48.25,26.18,37.94,47.76,29.54,27.4,35.25,71.13,14.13,37.78,48.86,31.62,35.92,36.98,41.23,12.46,,43.53
1985:Q2,38.16,47.82,51.09,57.58,50.94,48.66,26.79,38.66,48.47,30.56,27.79,36.14,71.81,14.5,38.32,49.29,32.29,37.23,37.84,42.26,12.65,,44.36
1985:Q3,38.76,48.45,50.84,58.15,51.37,49.22,27.49,39.34,49.05,30.68,28.15,36.96,73.75,14.93,39.02,49.69,33.12,38.63,38.69,42.15,12.38,,44.76
1985:Q4,40.11,49.12,51.51,58.73,51.83,49.94,28.26,39.99,49.68,31.58,28.47,37.72,74.45,15.42,39.71,50.05,33.81,40.16,39.51,42.8,12.97,,45.44
1986:Q1,40.7,50.13,52.08,59.24,52.33,51.58,29.42,40.35,50.28,31.98,28.56,38.23,74.12,16.05,40.53,50.43,34.48,41.55,40.45,43.41,13.55,,45.93
1986:Q2,41.08,50.7,52.72,59.86,52.81,52.3,30.23,41.05,50.85,33.28,28.89,38.96,74.38,16.63,41.29,50.68,35.13,43.35,41.21,43.81,13.96,,46.45
1986:Q3,41.52,51.15,52.87,60.51,53.26,52.87,30.99,41.84,51.39,33.38,29.26,39.7,74.39,17.22,41.61,50.87,35.74,45.31,41.93,44.23,14.46,,46.84
1986:Q4,42.43,51.49,53.48,61.2,53.68,53.28,31.72,42.69,51.84,33.87,29.68,40.45,74.13,17.85,41.83,51,36.37,47.37,42.58,44.45,15.07,,47.17
1987:Q1,42.29,51.21,54.69,61.9,54.08,52.84,32.26,43.93,52,33.82,30.27,41.18,74.15,18.5,41.83,50.86,36.98,50.51,42.98,45.18,16.79,,47.68
1987:Q2,43.47,51.5,54.99,62.66,54.55,53.23,32.96,44.81,52.43,34.79,30.71,41.99,75.03,19.17,42.02,50.94,37.6,52.42,43.62,44.94,17.22,,47.99
1987:Q3,44.68,51.88,56.04,63.46,55.1,53.76,33.69,45.64,53.06,35.28,31.13,42.85,75.88,19.87,42.2,51.05,38.19,54.16,44.27,46.08,16.49,,48.86
1987:Q4,44.35,52.33,56.82,64.3,55.73,54.41,34.44,46.42,53.75,35.83,31.54,43.75,76.36,20.59,42.74,51.17,38.79,55.64,44.93,47.03,17.48,,49.59
1988:Q1,45.86,52.77,57.07,65.18,56.42,55.53,35.13,46.55,54.54,37.12,31.71,44.68,77.98,21.42,43.25,50.87,39.39,56.33,45.56,47.92,18.38,,50.52
1988:Q2,46.7,53.42,59.07,66.1,57.13,56.3,35.94,47.47,55.33,38.36,32.19,45.67,78.75,22.16,44.1,51.22,39.98,57.59,46.33,48.77,19.11,,51.4
1988:Q3,46.75,54.19,61,67.05,57.85,57.08,36.8,48.58,56.24,38.89,32.74,46.7,80.4,22.9,45.01,51.76,40.55,58.67,47.14,49.62,21.45,,52.36
1988:Q4,48.44,55.08,62.44,68.05,58.57,57.85,37.7,49.89,57.16,39.7,33.38,47.77,80.28,23.63,46.32,52.49,41.16,59.72,48.01,50.44,21.07,,53.11
1989:Q1,50.15,56.25,63.36,69.08,59.28,58.92,38.59,52.14,58.54,40.79,34.47,49,82.71,24.13,47.76,53.72,41.78,60.63,48.56,51.51,21.84,,54.32
1989:Q2,51.62,57.33,64.62,70.15,60.12,59.56,39.62,53.52,59.58,42.15,35.12,50.11,82.95,24.94,49.1,54.72,42.42,61.49,49.65,51.85,22.24,,54.99
1989:Q3,51.88,58.47,64.47,71.25,61.08,60.08,40.71,54.79,60.47,44.22,35.69,51.21,84.24,25.83,50.6,55.79,43.07,62.27,50.94,52.34,23.96,,55.83
1989:Q4,54.07,59.68,65.36,72.39,62.18,60.48,41.88,55.93,61.38,44.44,36.19,52.29,87.21,26.79,51.88,56.93,43.73,62.85,52.44,53.05,24.17,,56.93
1990:Q1,55.2,61.24,67.15,73.7,63.42,60.21,43.38,56.66,62.25,47.43,36.45,53.23,87.95,27.66,53.41,58.99,44.41,63.27,54.35,53.84,24.45,,58.01
1990:Q2,55.79,62.46,65.48,74.85,64.56,60.58,44.6,57.69,63.18,47.65,36.88,54.36,88.93,28.85,54.81,59.92,45.09,63.74,56.14,54.66,26.25,,58.82
1990:Q3,55.61,63.61,67.04,76,65.61,61.05,45.79,58.7,63.92,48.36,37.29,55.55,91.23,30.2,56.44,60.57,45.79,64,58.05,55.25,27.47,,59.81
1990:Q4,56.98,64.71,68.03,77.12,66.6,61.61,46.96,59.7,64.77,49.75,37.7,56.79,94.34,31.69,58.49,60.95,46.48,64.25,60.08,55.47,27.87,,60.8
1991:Q1,56.18,65.69,68.85,78.51,67.52,62.64,48.26,61.17,65.41,50.39,38.12,58.53,95.16,34.05,60.26,59.94,47.18,64.6,63.28,55.89,28.68,,61.52
