column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rhpi
1975:Q1,39.11122476779713,44.58026621031594,64.26894518347103,94.70876546737135,113.30022419619382,57.11454717786368,36.57578313958459,56.43505947985641,44.2287062224383,33.372129632856364,22.28162990896893,78.54124204203818,100.89808258366197,97.39487934888078,24.15054926174378,46.18240415298901,57.02253157602743,57.67366669165873,78.75105104678079,55.22864354652492,91.82367088738519,,66.14628276805594
1975:Q2,38.591295765858426,45.61103908920581,64.19275671079598,90.77991743433165,112.65222288157081,57.65604767258123,36.666526594198196,55.62455227111404,44.724386834150586,32.23785559628683,22.333415378453207,75.75429823475874,99.43650686945305,96.52239593201752,25.76553083904636,43.70593121232146,56.27619393706489,54.56214195246736,79.33376680294772,55.03701867312293,89.33712508669932,,65.49590519072801
1975:Q3,38.56376943432978,45.93200371268183,65.00661403544517,89.11660167412542,112.93316513289955,58.87319925414971,36.670094002605886,55.729169837831705,45.385685157713645,31.67102177800382,22.57410985009752,72.8588599953679,97.76120651689794,98.05755573518522,27.27751534375541,43.615251108796166,55.75419858978974,53.55795389611746,80.0022354426425,54.557697089525135,87.66272904364703,,65.02837813522346
1975:Q4,37.796954302394276,47.38041406172253,66.00903694757841,88.25495467721491,113.12132111247644,57.650002557447216,36.57400910908209,59.02824132408891,46.059072684867004,30.57578867844699,23.106707860988568,70.48324629735829,95.8113525430461,99.4185109521421,28.64318938025232,45.02936371799916,56.08486799066451,52.65573445280624,80.68095168272195,54.710885605187556,87.81646898405661,,64.82900937660914
1976:Q1,37.918332419164585,51.15586012736657,66.99831678568097,86.07091703216022,113.31016363027874,58.206745431036325,36.378186959796665,54.37599353372917,46.44838687635367,30.487548748490898,23.279282974189478,67.4721757193379,93.79359852346826,101.72778349390255,29.726320718104816,45.822802260173695,55.21567894216619,50.99656882627749,81.19450826957844,54.78339641517783,87.44941105459809,,64.60081865916422
1976:Q2,38.27696055564425,51.85265215671348,68.34241393979303,85.64291379959522,114.31125030966614,57.314772411170175,36.176060760866065,53.02615522703834,47.39123931375277,30.436229671698033,22.821517597747437,64.38690926329383,91.7818673549332,103.96186357882988,30.91064157196892,47.93831376613024,56.84373944163246,49.47180173926409,82.16292504272262,55.93496632351632,85.68108055958125,,64.93508359411128
1976:Q3,38.33295931279063,53.332634281578954,67.8741269763036,82.5523937729021,115.2227350601982,57.13992858964722,35.93889951771987,53.20403213308321,47.88136511800505,30.075960243473244,22.86512282842569,61.86945788278687,90.81014893280039,105.1382053885589,32.050030884934976,51.99899414834647,56.83862625183452,48.64465053848968,83.22097023407677,56.43100485230623,83.64966144925475,,65.02283001940228
1976:Q4,37.98619279386813,54.71797082036835,66.38009793569036,85.79999078275173,116.79215502733209,58.21779655634349,35.652911633964905,52.4446170217572,48.36056482686814,29.00445931246162,23.40117216212865,60.00062453681402,89.8805250191138,109.32510714516101,33.13987552522929,54.935247393120164,57.51921200043171,48.10750147663608,84.34000031427426,56.52216632513383,81.37129413506996,,65.09381239470335
1977:Q1,37.92649520899172,56.059770649138684,63.884536570505205,83.6637430084351,118.80641212807434,57.29144108849101,34.573222131553116,50.58984612009663,49.536768154352174,28.38722146543801,23.318347402734616,58.881474896637386,88.99995786589673,108.64727940548981,34.42344515403189,60.78114314060116,57.68316704689109,47.24241541444319,85.82367254787144,57.11800721771654,79.35016028443675,,65.27617299441022
1977:Q2,37.90584166919492,57.42975387296128,62.52539715461505,84.55044984769621,120.90860999991044,59.26749960182224,34.54786836316951,50.16496173579173,49.73044861618304,27.758083228306994,23.028785349442916,58.341328214514036,88.61597571258531,111.90744613227248,35.35907988541417,65.08934258635517,57.44302622369171,45.78001662280159,86.6602444431646,58.118684855806,77.81002335617053,,65.89776130452255
1977:Q3,37.73697374498938,58.67934585306711,60.870385096175575,85.30653542745162,122.59278153038547,60.29889038665853,34.72481285124302,48.75258591065648,50.15794510471061,27.71153596641095,23.547832421108104,57.76601918991427,88.47075509309758,115.07813979971843,36.15519246287099,67.54116691856038,57.47374308179753,44.62135735872062,87.25212207743581,58.949060515170835,75.84456212635315,,66.4379488124523
1977:Q4,37.5408567843698,62.075687029559155,65.4602415186699,84.80437098467682,124.46124519073086,62.265011166845866,35.08019052474283,47.917899731686305,50.77195294546498,28.124969573661204,24.862639671891582,57.75504856370427,88.92989240591471,119.38716584739511,36.848212921999824,68.61745989576282,57.26178094220754,43.10798275564039,87.42716712094138,60.52389043754893,75.11324655573344,,67.72128439178081
1978:Q1,37.71238156810804,61.60561077313612,65.34501288236564,85.39524369038081,126.8361298371627,63.60443133407253,35.89495191237136,47.80853547823166,51.18717797118696,28.309673173587928,25.973002948509162,58.07680953403855,88.78435927221946,114.88121921765854,37.213541546824196,69.37441093940312,56.553324420439715,42.23567773583629,87.13022801291503,61.348279800078195,74.72368682567314,,68.1653058737591
1978:Q2,37.5952399764968,62.92703398883842,65.63326152315246,87.0817266782087,128.18207996827294,64.5669639050246,36.35301514874581,47.90666246821775,51.28669222879425,29.03771027960787,28.51489657666871,58.48971729865694,88.92229264423186,118.69177321905158,37.76032173321035,70.24211168100032,54.829918351323364,41.13907444216652,87.3067862335114,62.043106402265394,73.44614301909519,,68.83641100620638
1978:Q3,37.574160650794795,64.56074019500349,65.57649926881514,88.26930154383697,129.79214321719093,65.03565453629501,36.71630009323731,47.02955071714056,51.40489202868552,30.1394565964268,29.608423771598154,58.87053391823808,89.10544204256466,122.10448198254356,38.23895639814819,66.59326093269024,55.7776829331908,40.84056300021118,87.70486035046758,63.0485770941209,71.62160743205446,,69.57188597375831
1978:Q4,37.11584831745715,65.17911318311832,64.72436259725573,90.31587909337817,131.1724051336393,64.13682509335597,37.04310314048921,46.98509456526797,51.60230464732808,31.397038724728443,28.39273989625211,59.21753931684054,90.40272277833529,131.37483865787112,38.72483644539342,66.63828415866342,55.669193090433986,40.277876918915474,88.37913570546088,63.76037071708611,72.80539806908907,,70.56678412865892
1979:Q1,37.09092032879103,66.31803740677994,64.7738606216052,90.22133594504612,131.90192879180827,64.33616260230633,37.77284014816316,46.48727780227593,51.56610719860444,32.59047753591634,28.861704168088192,55.907679016096054,91.8372815390627,136.37805124981736,39.13264869179003,64.4037154692144,55.47236195069598,39.83421219894182,90.04463788019136,65.37597099404569,72.40207446893972,,71.5334577006756
1979:Q2,37.006081249338585,67.3114097400314,65.53626147265594,89.6504171462556,131.20873641829144,65.33052284126741,37.810644850352965,46.182216651199596,51.792528617980494,34.06964994278061,32.497354811817324,56.52634583557689,93.04697160217444,138.1659812444541,39.48652657884427,62.21340846309227,54.994153024807176,38.54926129973506,90.21213801493617,65.25430969417961,72.23835914866835,,71.78790845740104
1979:Q3,38.791562204043196,67.22931142713891,67.22301389423546,91.2507237709395,130.6174286288396,65.21150953518737,37.49679035095696,46.6349619910423,52.15034478846109,34.031595669303165,30.517567711801558,57.39961904577491,94.42398799138168,144.1885054519597,39.75022116643611,61.11247232057344,54.66465957639177,37.22332512164421,89.46433307818798,65.16791264478977,71.60109299800526,,72.202677578644
1979:Q4,40.465912308760835,67.17426743468961,69.74660215809291,93.16678636081168,130.76946333183207,63.490383804891,36.96796752350725,47.05677933780058,53.089205771913,34.94423535415739,30.40240286894204,58.14648725451988,95.66097080813452,145.8274785909786,40.00964452741674,59.14366559238823,54.86077841054418,36.491659358345586,87.91990057431565,65.33646360112853,72.81690814302887,,72.72768105513038
1980:Q1,41.52210658513968,67.37165005181977,71.31955062106427,95.69852492754647,127.43850553609356,60.94782033780456,35.4568426507969,47.1870483830549,54.807621142156485,35.44824801377413,29.917505122910917,58.250326523935165,96.65150090022694,140.47984733962076,40.31263898014774,57.09845830454826,55.06624572426344,35.72670889760464,85.40242202217303,64.34235682596469,71.76025244950942,,72.08917306479815
1980:Q2,42.64860149750998,64.5175970758879,72.5025972258211,95.32048898683622,127.1619602801426,57.22269133680542,34.8862526998509,47.868676882063454,55.27090579648748,35.32919155200983,28.3524446309831,60.624527094382515,97.63677054747187,141.3566423534,40.30793672903702,54.06988928156093,55.61071657603371,34.960915511813035,83.19171756489618,63.519563985664576,74.13971118350982,,71.9771340685697
1980:Q3,43.1408589133358,62.101030185944666,73.76895148742844,96.0129267095792,128.07032413702493,57.232026688729775,34.285764585710474,48.438681588648244,55.62588381845887,35.58931225578579,28.186026150504638,61.737752736976134,99.35484418547048,139.9085861631465,40.12078887103464,50.46338150195169,55.28740898829858,34.95495590699756,80.91409698150167,63.84141274430823,79.09756548089092,,72.4298303372036
1980:Q4,42.819769211547985,59.46828788212609,78.05231318839392,95.82961750652925,129.04338275646597,55.614183253801606,33.75447691801821,47.82497086579415,55.5952612962849,34.71259832432156,29.376214304879095,64.25005561423272,101.19110558591414,137.51311998606917,39.85300947342751,50.39830175776073,55.592966402116126,35.13101880963316,78.5357323726586,62.86405996558955,81.83044720705637,,72.44496044382166
1981:Q1,44.96502891295527,57.416936071586434,83.24348411800055,97.88554112803924,131.82418991272624,53.488572948230846,33.43849605153798,48.6232685422353,55.21849027341,34.359749232540814,29.500555763305798,74.27402313216263,102.53280024887478,144.20741915019187,39.60704514302712,49.2485960027025,54.95018063406054,35.64253364064326,75.39409387771838,61.620372804782754,86.0596444608974,,73.27216501740465
1981:Q2,45.27651615956736,56.29966089760896,87.47342969248771,100.87136197119652,131.91552433949605,49.57004939231674,32.97644950501439,48.60681057728944,54.711590915439594,34.161119481739235,29.249761504047576,75.46931514184632,104.49034435738488,143.54169426123389,38.97970325371135,45.918708628102095,54.280939415311295,36.7438599720214,73.25140720997497,61.55946446765199,90.38356566716708,,73.60380782126732
1981:Q3,44.02654240464327,53.95468103294503,93.18420160581005,99.02553499891395,131.89298858238976,47.14321531616292,32.44006871866221,49.97572214197172,53.760507071127535,33.56269074033452,30.43771123950881,76.35848732525389,106.07527488628068,141.5379203748067,38.06464649575176,43.42683329442214,53.16442741884773,38.264692855019234,71.33211441208377,61.571687057367924,93.62155407932569,,73.78169477106742
1981:Q4,44.86630411917837,53.49637055179552,89.19060439893467,100.18537633452083,131.57450078423128,46.63636242272713,31.895814019671477,50.470711829555796,52.977602060622374,32.27627389241606,28.226327404851997,76.19752671870937,107.48051558107962,140.93142900387733,37.06144120946117,40.6519769304868,53.46189692909486,40.37889873563136,69.7021130285106,60.967591251464704,95.56429731256746,,73.34115695931865
1982:Q1,43.222472433496534,50.725261274128506,86.00902139807862,100.5332362661561,131.3823419691828,44.72297878781658,31.214078160459064,52.06771800138048,51.929105727650565,31.163828570039566,28.210890298738775,75.98784020941771,108.92458704178851,135.3756062987706,34.92741114928255,38.74773318223641,53.51278556034973,42.4339275430169,68.74134466638405,60.90426042276616,96.99343754433704,,72.91247608105023
1982:Q2,43.021719302841205,49.43920092638098,81.10363286732279,98.26626844744929,130.7807018896054,43.842242229322515,30.742395276679012,53.155230894268264,51.15204733164171,31.872826529310895,28.396944983125355,75.87742817596062,110.68165042929925,136.11138496192024,33.93899961677347,37.70377798777731,53.28597502277157,43.564162258729255,67.26680052234225,60.723008863789644,95.64455956850978,,72.74193601556499
1982:Q3,41.624921923398134,49.69205562971792,76.20908231969602,97.17702008397075,129.63996911994428,42.63770947816191,30.296352542511265,53.70515617313388,50.99779385251008,31.805315881410863,26.392278961541344,74.37262960042253,111.5467344616205,138.5458194579935,33.05468939680524,37.96576653370731,52.743792971764954,43.30873093566288,65.61743323526362,59.23736356129808,95.5609943706321,,71.8852107843219
1982:Q4,40.54594565376781,48.36875264816307,71.17146213409367,98.91026376162327,128.4256910242297,42.91260650144841,29.909340483372468,55.71161280639114,50.55546192538946,31.912786539288888,26.57469979117017,72.61271136455699,112.50703550939839,142.54004557622468,32.37503978487228,37.28105799036529,52.3091214016723,42.96550060812987,63.84497062021816,59.69723580750411,93.9111055161599,,71.85070691024639
1983:Q1,40.362217784915394,47.086474143153225,70.65527273050192,97.45883282979784,128.11187331060498,45.53081038988691,29.53700187314463,57.98253981787172,49.97053822688408,32.921794084219265,26.006855030019036,68.81621988946581,113.47618149745372,156.63360663541002,31.746965135680583,37.212370843943425,52.93445085818276,43.612031882910756,61.4672910293094,60.01612046311263,96.98686585713962,,72.37526989628633
1983:Q2,40.791982670975656,46.11090105992364,69.66121913922007,98.42397553911997,127.26566608835888,50.322158257578344,29.25964181864001,59.34244933841099,49.27266340294889,33.44758495288922,26.445104083745083,67.9822888233074,114.17831885212765,162.8870177643291,31.32881643165924,38.027109424662626,52.78057926334211,43.59256343420984,59.98663471605975,59.91429580001111,100.42785772612052,,72.55888121883454
1983:Q3,40.773449089730704,44.864957342070916,69.0309876582226,100.75241569337092,125.1926679574952,50.898754050521575,29.04168290124995,61.02351380201028,48.707380246097664,33.923154835852124,27.540975646467015,67.23609519992532,114.77721326565818,168.20509223858053,30.99779402767011,37.776481315802435,51.903423139201934,44.24430112553407,58.89901221558125,59.67714964765232,102.39957893474933,,72.51050394208168
1983:Q4,41.041499285018375,44.24402841546868,68.96350899583013,101.41337825986315,123.85073492552293,51.47111310654914,28.90827114513156,62.49733187826715,48.1986534597533,34.1514635882359,27.961239724924972,65.5750096028293,115.04628581644693,168.92887475960896,30.84926275996271,37.02311594979939,51.32551047417636,45.338278836286776,58.26406499985477,59.94781097286261,105.44588559492885,,72.49454076836663
