column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1983:Q1,17.57,27.07,39.23,67.15,86.03,26.17,9.71,29.83,28.73,15.37,12.31,23.61,102.13,50.06,17.39,22.89,25.1,17.37,26.13,33,9.46,,43.01
1983:Q2,18.09,26.95,39.11,68.47,85.91,29.35,9.89,31.04,29.07,15.77,12.76,24.01,103.24,52.01,17.49,23.48,25.41,17.63,26.19,33.25,10.04,,43.45
1983:Q3,18.31,26.64,39.5,70.45,85.65,30.18,10.08,32.5,29.37,16.2,13.55,24.4,104.19,53.41,17.62,23.58,25.49,18.09,26.3,33.56,10.54,,43.85
1983:Q4,18.86,26.65,39.91,71.57,85.27,31.07,10.3,33.97,29.66,16.51,14.02,24.78,105.1,54.24,17.83,23.28,25.47,18.73,26.52,33.93,11.14,,44.23
1984:Q1,19.56,26.98,39.45,71.74,84.44,32.45,10.54,34.58,29.96,16.84,14.08,25.16,105.94,53.69,18.13,23.24,26.57,19.36,26.93,34.3,11.4,,44.5
1984:Q2,20.03,27.24,39.48,73.69,83.93,33.06,10.79,35.29,30.23,17.22,13.76,25.52,106.75,54,18.39,22.97,27.98,19.96,27.19,34.66,11.38,,44.83
1984:Q3,21.2,27.19,39.14,73.83,83.42,33.8,11.05,36.17,30.48,17.66,13.57,25.88,107.55,54.19,18.64,23.14,29.74,20.55,27.43,35.05,11.23,,45.16
1984:Q4,20.99,27.25,38.13,74.03,82.91,35.43,11.34,36.3,30.72,18.07,13.49,26.24,108.27,54.14,18.92,23.23,31.48,21.16,27.74,35.5,10.93,,45.44
1985:Q1,22.03,27.23,38.1,76.21,82.08,36.34,11.57,36.7,30.93,18.3,13.72,26.32,108.91,54.34,18.98,23.08,32.39,21.86,27.88,35.85,10.59,,45.69
1985:Q2,22.18,27.36,38.5,76.01,81.7,38.06,11.91,37.94,31.19,18.82,13.82,26.68,109.53,54.15,19.34,23.23,33.26,22.69,28.18,36.33,10.4,,46.05
