column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rpdi
1975:Q1,74.53169799878715,65.3978463659961,70.04181367144432,75.38626940770557,65.97292916417169,70.93275810056177,69.46101384526463,51.29428901734104,67.0362005593288,47.23585858585859,52.58287132424349,63.62407314629258,62.10645609089355,27.47896733870415,36.52072056941274,81.2032016524658,48.7774570610687,81.98851706036746,74.82016776512883,57.429207763283486,94.38650246667436,,60.54410448996884
1975:Q2,73.11558187134503,67.2482683811928,70.76009736747204,74.28439733408962,66.68086509568502,72.384299778846,70.17238298582733,51.601865812287976,66.98731920684293,45.542333333333346,51.847220133079006,65.58811827956988,62.711440144392206,27.34329781754846,37.529578980516966,82.89406994424733,49.58819702602231,80.28305849408837,75.27731913652275,59.83658076681333,95.01848452242128,,61.718633557422926
1975:Q3,72.56490118577075,68.85087800369683,71.89677830520392,73.50611365762394,67.42917944343218,73.55066739643063,70.7543078818362,52.087580645161296,67.15741733181301,46.061068702290086,51.13387538516073,67.074444971537,63.38209800855826,27.870881243442845,38.810463647486586,83.2023575638507,50.4543710263397,79.94920468187276,75.71932812499999,58.68559086701636,102.18734746206628,,61.71346801559327
1975:Q4,70.8822790573112,70.27989278163696,72.00823286255597,73.09367614269789,67.646764448768,74.51374828820425,71.20503168650376,54.71194212523719,67.40651430694909,45.12293287937744,50.489892262741485,68.53383164673414,63.93022705352838,28.34361603037267,40.24169052217422,84.63213939980639,51.35635291499778,79.06667626728111,76.05459623893806,58.98058252427185,104.45035785172992,,62.042277234010186
1976:Q1,70.438334200937,71.60878679750222,72.25563279406806,73.02522137828826,67.58699762281064,75.31316756387244,71.5280965269607,51.194186590436594,67.48217485549132,45.55245070422535,49.80691263582538,68.88934973637961,64.40706211812628,28.864907406353588,41.55652241488989,84.99527410207939,52.27508741258742,77.37424657534247,76.33139606892838,59.573829531812734,96.97537857142895,,62.32705370709015
1976:Q2,70.61322408536587,72.46872257970166,74.15248836822865,73.00408327178731,67.80994768308342,76.0334735900009,71.73133038988331,51.5235332197615,68.2736731793961,44.820452674897126,49.456415889693616,68.57990416666667,64.40374257425742,29.546190140442693,42.627723277352615,85.19630484988453,53.031954564937855,75.87885520125457,76.63417060367453,59.791666666666664,95.36520038233353,,62.523647754436205
1976:Q3,74.24899203583874,72.88437499999999,71.88555682560417,73.01638311568881,68.02302566133817,76.61268913247156,71.82564503093361,51.106644106966,68.38300727146816,46.34208629893239,49.41411518981042,68.54303812549644,64.69607425668607,29.91336714312334,43.25234583642862,86.08576642335765,53.65484040319194,75.47536727456941,76.82966333845367,60.070360598065086,94.53288839574938,,62.817257634538144
1976:Q4,73.23339681774351,72.85145939086293,74.1452636246372,73.11526937877954,68.55349641359932,76.99325517941645,71.74464190779159,50.97385272317113,68.57571380357746,44.9107100591716,49.574291362740084,68.58534142640363,64.85658767946089,31.14419962719456,43.265907720744885,85.19911504424778,54.12711672831896,75.1699458927693,77.06086831584207,60.23088023088023,94.27441923285535,,62.95817711895897
1977:Q1,72.69256482791137,71.5212399778822,72.92183275699466,73.3363696128561,69.07276839779102,77.00647411008154,71.15996329452771,50.40330688246386,69.19667275141056,43.70970731707317,50.21180083209851,69.24416362308254,64.57509103942652,30.79697199911605,43.067721780263376,86.49667405764967,54.52166130329848,73.60267645665562,77.06748902439026,59.97732426303855,103.67850523724799,,62.898494619894464
1977:Q2,72.24965961361546,71.36578303425775,73.77191248846509,73.65456230643105,69.83404053673705,77.29330121615969,71.11582946690416,50.1295854961832,69.30665699548679,43.16248824451411,50.78441786069763,69.98942321302194,64.79969959051117,31.729686600108856,42.94870331093665,85.43459552495698,54.90772566022862,71.90434880576836,77.06217561787072,60.395763656633214,99.10658461336273,,63.142525919257544
1977:Q3,70.797276001801,71.41143096514745,72.76556114783654,74.09310851373476,70.35375687469046,77.64403051028144,71.27945765634165,49.99920151245553,69.95236601513241,43.95407052510541,51.571419353722696,70.5163098495212,65.23660507600056,32.60862617711985,43.176195250567424,86.78556080790717,55.57678778507924,71.40323107049609,76.92071659731856,61.01043382756727,94.68813674146855,,63.54757365933465
1977:Q4,71.5826021978022,71.71704997348886,73.91520759456263,74.72060691537762,70.93835653384188,78.08057473988207,71.4947682641069,50.46175982532752,71.1192726426799,45.818765571913936,52.71732615299739,71.17837981407703,66.17873631702923,33.80534133546976,43.5746099137962,86.88108336859923,55.647926136363644,70.99238445378151,76.66097733393177,61.94857916102841,95.82276283931168,,64.45174378802719
1978:Q1,73.64508046976948,72.30488830486202,75.53888969310943,75.57717308043043,71.90147350035036,78.68851991566427,72.36351270066822,51.11663423010876,73.1543977376949,45.43727938484072,54.12429399027505,71.03717194570136,66.72754953539217,33.10396900175772,44.52305217711873,88.0902192242833,55.806924225457266,71.43577461887104,76.56974880382778,62.06070287539936,97.40050405617656,,64.91850373006649
1978:Q2,72.61042693288022,72.750634765625,75.2711697574893,76.1357012195122,72.33778916099486,78.98917341955958,72.44051819002323,51.736746488764034,73.59584326579261,47.01945487364621,55.09127624397555,72.00897798742139,67.04176238358752,33.80506190993743,45.17832620270144,88.230401330838,54.702550468637355,71.73655537784886,76.36103831498728,62.509783459431254,89.14473703541252,,65.25037260171197
