column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1975:Q1,7.596731239007645,15.22505112853658,17.4357583899207,49.409931741729025,54.17729591836735,15.767401168601934,3.324482274318549,13.910468315953189,11.070968373344964,6.009244284443043,3.351808066379475,7.83525727423437,59.04185742315243,8.716848129963505,7.484764758908772,14.094304418944555,13.353324484816747,7.425363576210367,14.567473753006878,17.374081047254826,3.230061448380144,,22.70507116638627
1975:Q2,7.770476577394967,16.01382130161883,17.75700502216427,48.013856708113615,54.75127551020408,16.276222604005216,3.4700875415114405,14.017123666275513,11.503696241491301,6.157524257268867,3.506340382364932,7.744305960300776,59.20536298234144,9.246818447337516,8.18879313352309,14.643848510370182,13.522922999891748,7.4055942060760644,15.070948116610122,17.51782109915259,3.281536531222855,,22.91724642203936
1975:Q3,8.039589407010975,16.51588074215848,18.488812874291348,47.63317913051713,55.389030612244895,17.02213091653406,3.6240882017548466,14.276401356165863,11.941567159528143,6.29168581662048,3.708354213141003,7.687275808733383,59.40156965336813,9.805748796341428,8.870267190560703,16.116541572140495,13.714311041981674,7.5395321965676745,15.605799638576094,17.684874939898418,3.294405301933533,,23.193234903692325
1975:Q4,8.309567893423832,17.38025869750493,19.201611153728205,47.49917114269743,56.0905612244898,17.073280354670068,3.782719380424252,14.773919364024747,12.395084380050319,6.352577575472895,3.9815565059988,7.664166819532196,59.63047743623287,10.389240532568541,9.534034333612379,17.878910889681627,14.077551624795825,7.722485913676497,16.167425207007174,18.041241806923754,3.3716179261976,,23.56421388541708
1976:Q1,8.575800596065204,19.063367965842378,19.875611914409774,46.46142780360251,56.85586734693877,17.651639873064607,3.95949442091912,14.90593910260949,12.857550115379654,6.5560221862281445,4.215863250161372,7.674978992697211,59.84303466317846,11.078183265302181,10.155131478618978,19.3116652392054,14.112751697036249,7.865118266870147,16.71130244007065,18.257329432002678,3.4359617797509894,,23.889256655688477
1976:Q2,8.867956365166691,19.64141703659753,20.613622933654906,46.384548329742934,57.68494897959184,17.78304371381052,4.13827627316323,14.782692308812317,13.341256872518358,6.714700486647004,4.323758939497786,7.719712328228432,60.23544800523222,11.726895392959413,10.775077257716738,20.799509312904895,14.808377952248152,7.996060661568798,17.347721358027385,18.784844344898065,3.5131744040150568,,24.367168467118084
1976:Q3,9.065840864084624,20.559673599280238,20.81385271396944,44.884071510623556,58.577806122448976,18.132905085514764,4.327112749483554,15.307323047941278,13.828808494339453,6.817642689935015,4.51156409837858,7.798366826125819,60.791366906474735,12.406330176738866,11.371005365065596,22.85178685162342,15.117595919450338,8.111903421569842,18.013850528948495,19.242311909572877,3.5131744040150568,,24.823367086584557
1976:Q4,9.27179552832476,21.49642486026965,20.649182529671393,46.821404446650625,59.5344387755102,18.906508341249125,4.5196350744703055,15.457451106269307,14.329934060216477,6.916891705031327,4.795951736657172,7.910942486389444,61.37998691955518,13.108113361764092,11.951093411986744,24.81396637340336,15.631762352513904,8.261016869781903,18.704758698089282,19.567487746550924,3.5131744040150568,,25.257054805841182
1977:Q1,9.470646803167828,22.458287547939786,20.403679704492315,45.814607633221925,60.55484693877551,19.057314546753524,4.672982662376867,15.29042350794173,14.926159501645492,7.050736313716858,4.9505012690201555,8.057439309019275,62.05035971223026,13.743869847418631,12.564733735405122,27.31902048346924,16.016709759954104,8.422343008076664,19.499900955631727,20.145100739875037,3.5131744040150568,,25.788726590280085
1977:Q2,9.700663147847646,23.401877101099085,20.3788862692428,46.41008832788032,61.639030612244895,20.156215944950038,4.907918896042408,15.605108455171596,15.427159538987155,7.139964050379389,5.033424182224472,8.237857294015308,62.737083060823984,14.581554384502489,13.068600290458987,30.2934946321218,16.27641049670975,8.585108307985037,20.21824908700729,20.855176866021868,3.564649486857768,,26.421908638492017
