column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_pdi
1975:Q1,14.275584290410105,22.52505537851755,19.627858037443097,38.83998421179307,31.539546817053463,19.89040128019198,6.745940824599193,12.961796185558939,16.84077930008061,9.326193243141086,7.926221892920595,6.322540832150622,37.416130096710965,2.336486197726296,12.250917909223269,30.946625376083137,11.31837126169688,10.631636598624695,13.730653818836837,18.052461003579626,3.31808656346957,,19.394028922091273
1975:Q2,14.523110087418027,23.7750685792168,20.205212520459515,38.810331896902355,32.28644483977049,20.75039666820036,6.969657793920849,13.325427232049947,17.283744898443068,9.615056101788028,8.168743643137253,6.683387478634096,38.48211551542588,2.5444650933558446,12.22004844272148,32.16052338732563,11.826433769257857,10.970385775141654,14.19083543466983,19.03537313642679,3.492967846986436,,20.141426610878405
1975:Q3,14.928880470728798,24.89812206455097,21.055588086933145,38.81596495565843,32.882996276554486,21.58232153343106,7.227415339540527,13.672879317992882,17.75123722257137,9.945040375863424,8.430366223703599,7.046517604335722,39.66995105383454,2.74965203460064,12.553111749920506,33.313812970592885,12.29399367482109,11.30785380517014,14.652525205765452,19.024817381021354,3.8433955523157612,,20.51201065593497
1975:Q4,15.377398087563437,25.916879621834088,21.520481556433538,38.859373637572546,33.326675810152196,22.38134775117995,7.52495641146479,14.031896186825156,18.237046095180464,10.211827375804742,8.72140556230083,7.4246429030091114,40.94338305022707,2.952027820198224,13.249510790911403,34.39129256065268,12.780355598441378,11.64827517008408,15.121387130257576,19.44429088281128,4.0113015154990235,,21.035328710034474
1976:Q1,15.722173962829913,26.907117809428424,22.07423818632714,38.93130789609208,33.66275229997657,23.197897070117467,7.826861054127015,14.379046677527706,18.765882561654156,10.754853844185215,9.03583476472043,7.807742324353306,42.19995934982482,3.1512745966811253,14.062474795018806,35.380762974498175,13.240734036938976,12.01999410203514,15.591223969281382,19.852293355422713,3.805797531857402,,21.55821644800159
1976:Q2,16.142971102836196,27.64217707732889,22.974147978444385,39.05558020603197,34.01651098426948,23.95160190389053,8.211614489822896,14.723811960245923,19.288234452937495,10.954385457186179,9.392827161266563,8.201995862304654,43.37289514062137,3.3489200743992997,14.796462424763673,36.26952973736742,13.710656148774856,12.339836732516638,16.048664633805927,20.090432538146082,3.905513221058344,,21.999487049560162
1976:Q3,17.323997092590563,28.25864946858417,22.66281844314117,39.21797536349501,34.46492285896967,24.67803097411856,8.627578716470381,15.060843667567708,19.83888702886965,11.452198936360936,9.778857041535593,8.59759025817955,44.43305034684682,3.5448098390122036,15.327330684745784,37.10184006537312,14.139795803235279,12.655428539429115,16.49640964136589,20.486513770420327,3.969633737829401,,22.488471562353922
1976:Q4,17.64746360455353,28.766311824943674,23.670404918430382,39.41887413878439,34.94551904916531,25.364641945524095,9.079173732799656,15.402263954376238,20.407065992581174,11.694013639372127,10.189375655234748,9.007435685228437,45.469017152139685,3.739068795843663,15.579698359667313,37.87380441518724,14.586439552860961,12.978955037583937,16.95882453289038,20.866994004563896,4.071672298617923,,22.986108160613846
1977:Q1,17.917342335212233,28.897388811536683,23.883952694604684,39.659186795343075,35.502144436339094,26.022955190716992,9.593576897788685,15.610361361502253,20.942012805778383,11.913869024222068,10.688084068273438,9.442350432379241,46.34823176233698,3.8328777277215096,15.696438512678395,38.36096040833364,15.009788247858667,13.22291051635933,17.375842388041583,21.16420593747645,4.589859089051629,,23.398582212797262
1977:Q2,18.249284346894445,29.2760462263935,24.694884336029357,39.93335548623942,36.018777531957234,26.688715826848203,10.105873607143378,15.988093479652008,21.573205837403876,12.292596778117757,11.103822141296876,9.857833288897188,47.23065480943542,4.063504525929235,15.851405248940393,39.04068764274229,15.433638437755356,13.56083268907156,17.822462899941574,21.66735639647219,4.540770558741769,,23.933889913525142
