column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_hpi
1975:Q1,7.596724222644721,15.22186738237848,17.4357583899207,49.40956294432763,53.79210351968767,15.767554485130649,3.559488376061697,13.907455126917913,11.070998717412175,6.0091913928091625,3.351808072502209,7.83880789619022,59.06426093795227,8.71684170172483,7.487855577857856,17.881826888037345,13.353288913255215,7.425336055579996,14.567526095547478,17.358362666672782,3.229853627151359,,22.748178667018866
1975:Q2,7.770565297214545,16.01344776332289,17.75700502216427,48.013498331018006,54.2167373198928,16.276371972219348,3.6418721177955464,14.014096263171867,11.503687478117435,6.157464213492515,3.50634037300339,7.75005221202642,59.22290291887327,9.246845530287278,8.185820101786218,17.24636045638205,13.52289036662813,7.405566758716926,15.07099765034662,17.512779341787716,3.2813253981019783,,22.928032927555048
1975:Q3,8.039655585034291,16.51796527365908,18.488812874291348,47.63282359482004,54.75309869441449,17.022223498198326,3.7418355868403834,14.273314598668797,11.941570843536637,6.291690601944532,3.708354223350113,7.679707828903221,59.3884482478093,9.805755573518523,8.87109284710029,17.7601302515018,13.714268654622778,7.539504252794066,15.605866930346446,17.682149626715095,3.2941933408396333,,23.172719687020827
1975:Q4,8.30959918846573,17.380036112268474,19.201611153728205,47.498816607277064,55.41999654942451,17.07340432398335,3.857360145020956,14.770723951375729,12.395116215308477,6.352511073258327,3.9815564934161563,7.6619119681212515,59.60275234822028,10.38923439449885,9.533647668678665,18.606133088277254,14.07752402945569,7.722457291821394,16.167488017995154,18.03270789546982,3.3714009972655616,,23.518666808239185
1976:Q1,8.575832360824151,19.059649091077006,19.875611914409774,46.46108101396008,56.064271331961244,17.651703272958258,3.987207270959159,14.9026962644137,12.857556365192957,6.555987229822655,4.215863246985403,7.67871753273729,59.86695726359821,11.078155622485989,10.152673330372611,19.392209916505507,14.11276853388627,7.86508911637665,16.711355151743657,18.253827685537253,3.435740710953836,,23.828976694304696
1976:Q2,8.867979490091255,19.64096027960708,20.613622933654906,46.384202113860766,56.99701300919695,17.783125323328346,4.14041537975328,14.779493895335582,13.341300931867998,6.714674888485593,4.323758930849976,7.726815452367879,60.25328958627399,11.72689821169201,10.774439299574881,20.757289860734396,14.808411400502857,7.996031025763409,17.347783009851657,18.794148684701483,3.512948367379765,,24.316733668518108
1976:Q3,9.065881372046393,20.56197948205454,20.81385271396944,44.88373649432687,58.03334194965728,18.133000494174148,4.3130140480659644,15.304006394065576,13.828829687564234,6.817648951546253,4.511564088941158,7.789754235154623,60.77771323789237,12.40630823584995,11.372167622209403,22.796359034635092,15.117630520089081,8.11187335641635,18.013915751416118,19.248615755121655,3.512948367379765,,24.77786920318151
1976:Q4,9.271842371579343,21.496183301927847,20.649182529671393,46.82105497014763,59.20294160422885,18.906603769897146,4.502172132281973,15.454110454976147,14.329951855793821,6.916876273052533,4.795951744978927,7.90847773783898,61.350912605231954,13.108080346704806,11.949184716085803,24.830731821690314,15.631774920920494,8.260986251969129,18.70483132489474,19.58493063165887,3.512948367379765,,25.23294617140095
1977:Q1,9.470732895054903,22.464278126346453,20.403679704492315,45.81426567141906,60.68233121028582,19.05738234292943,4.668914232426884,15.287091033370286,14.926174553633992,7.050719077715697,4.95050126053729,8.061276977198517,62.07591871349513,13.743880844794463,12.563319130836627,27.412295556411124,16.016711101341375,8.42231179234071,19.49997547499434,20.151232946410396,3.512948367379765,,25.806522198326192
1977:Q2,9.700690930274098,23.401372080847704,20.3788862692428,46.40974192140045,61.98265461123224,20.156398205185212,4.906419947594,15.601742568763125,15.427156518565907,7.139941476622345,5.033424190860754,8.244041878804774,62.75626509302559,14.581540231035104,13.070956271469687,30.253526434137882,16.276439502585177,8.585076488991932,20.21832247745763,20.852984126263195,3.5644201383303837,,26.450905289889334
1977:Q3,9.86987011455787,24.248603798026902,20.324348345769703,46.893002524470155,63.269956564910345,20.928203088620197,5.1735471466917,15.6115685468753,15.910895732000803,7.287025165730749,5.269236130108018,8.445814296280279,63.440792457448836,15.524041058982016,13.511177505836782,31.433659083897997,16.611725223478153,8.660479568088736,20.917300089054436,21.46924783962522,3.5644201383303837,,27.03089066053131
1977:Q4,10.05574064106942,25.940949062511805,22.239229638664263,46.60000185607991,64.56413489203662,22.009232329674774,5.470800969825869,15.630966556192156,16.36969611442363,7.50907932015009,5.654745250182432,8.698345230955411,64.17909887187685,16.5589999030337,13.90424495164027,32.42861154673751,16.888353696272983,8.667635434447813,21.589108156880837,22.36357751667433,3.5901560238056933,,27.81395968913417
1978:Q1,10.20997971008852,25.96973815170009,22.674530811509488,46.822212115435796,65.74339203247888,22.851724193240475,5.8431548153398305,15.863158325865141,16.744163122531383,7.775457373738749,5.96487090820948,8.98493168149984,64.97076984616406,17.530874052614692,14.076732456652294,32.91122054965284,17.000758965237498,8.662726989673693,22.201429116286132,23.04241389290937,3.6287598520186584,,28.42755604083795
1978:Q2,10.41577289493571,26.770786374977376,23.178549312833848,47.84270063700785,67.03204979154442,23.633525059579203,6.172375913398546,16.195979999226534,17.212674545710637,8.120580908602685,6.6717825748945785,9.300330066989803,65.88087959812142,18.8601227645073,14.420216648219203,33.779431507393056,16.961999601431106,8.690354875223672,22.856040907016226,23.781122683988325,3.6416277947563134,,29.139046483432026
1978:Q3,10.625727489347208,27.723299154780065,23.707114491401686,48.79526989343308,68.3197923325416,24.30603460606544,6.492932134315429,16.06916488025182,17.730433782382757,8.605294320725672,7.1153457819404,9.649362977348089,66.87196245388343,20.367027594688267,14.751059592712501,32.25111626970188,17.38319374134246,8.792149121686974,23.485169587889125,24.595249924416564,3.7188354511822426,,29.86816713556987
1978:Q4,10.84144294409528,28.21991129423918,23.970752703028484,50.43238688574237,69.59558457603978,24.515470025158557,6.81359127175152,16.339537646115836,18.25780827463841,9.223897976238684,7.049097812240099,10.031952757910684,68.07154846337488,22.044697926790775,15.106378016445808,32.64609540932921,17.48929710531323,8.92843489536738,24.08692653917742,25.34474736004173,3.860382821296445,,30.63465299806152
1979:Q1,11.017358140392096,28.92608926968482,24.452596822908045,51.083320412085115,71.13483534578438,25.189561509626895,7.202916559417986,16.510758907007144,18.68849167335792,9.836464824857405,7.441484257291906,9.806697234284961,69.41806566373592,24.398033368592326,15.423967763939618,31.821875813338835,17.61537318166617,9.074623121299533,24.850224252887386,26.470730655489103,3.9375904777223734,,31.563765491746558
1979:Q2,11.230193735441366,29.65766254381442,25.35799775016067,51.40554919166296,72.2672277493809,26.183407808367793,7.4877599390987655,16.669937132661584,19.335117688976567,10.545621841164555,8.706852906931955,10.316573943689965,71.11402254497831,26.265353034570726,15.779456233724845,31.200024344240774,17.776009249816102,9.15794165342905,25.356384816389927,27.14579283277872,4.066269905098921,,32.380846589124964
1979:Q3,12.07056535846003,30.001347894033024,26.565353440714265,52.92541978714491,73.30477062760525,26.74565550565231,7.708469936010945,17.174367427293944,20.12582434508439,11.225844423358446,8.50238984543305,10.940914435846489,73.14843478605373,28.116758563132144,16.127647858392997,31.118470905635995,17.950258382959408,9.281180589973939,25.751052702028723,27.781081160473878,4.233553160688435,,33.258366290279284
1979:Q4,12.87974305163982,30.43819457780147,28.197965960303407,54.61437016470781,74.18888355528468,26.649484373247994,7.886058052637166,17.696146452144088,20.98190321622083,12.027747483669135,8.819971483296268,11.629878944851217,75.39809223866567,29.9675468504461,16.504178824086672,30.600932577501673,18.248458897057397,9.4332389410549,26.037348222174714,28.525900008252716,4.400836416277947,,34.215777273671
