column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1983:Q1,75.21,74.81,76.06,77.01,69.76,75.54,68.55,62.46,73.43,49.88,49.67,81.16,72.2,35.86,62.1,74.31,56.84,72.55,72.79,64.22,97.86,,66.92
1983:Q2,72.34,74.42,75.15,76.83,69.79,75.37,68.27,63.08,72.91,50.83,49.61,81.65,74.03,36.85,62.25,74.21,57.28,72.29,72.44,64.51,96.17,,67.22
1983:Q3,77.13,74.11,79.31,77.05,69.39,75.27,67.92,63.42,72.5,50.63,49.59,82.02,74.41,38.11,62.37,73.8,57.57,72.75,72.38,65.29,95.68,,67.81
1983:Q4,75.31,73.9,77.49,76.99,69.71,75.26,67.51,63.48,72.06,50.9,49.62,81.42,73.85,38.8,62.02,73.63,58.19,73.7,72.58,66.46,96.9,,68.12
1984:Q1,75.89,73.72,76.84,76.98,70.18,76.59,66.5,63.13,71.29,51.76,49.98,81.21,74.18,39.61,61.8,74.14,57.85,75.47,72.82,67.63,93.12,,68.61
1984:Q2,76.59,73.55,79.37,77.14,70.61,76.58,66.18,63.88,71.2,51.58,50.09,81.74,74.66,40.47,61.59,74.68,58.82,75.97,73.23,68.62,105.61,,69.43
1984:Q3,75.55,73.32,79.92,77.64,71.19,76.5,66,64.11,70.99,52.05,50.25,82.33,74.54,41.29,61.24,75.26,58.69,76.1,73.6,69.5,101.36,,69.84
1984:Q4,76.25,72.99,80.65,77.75,71.54,76.28,65.94,64.17,71.06,53.68,50.45,83,76.84,41.68,61.26,75.81,59.3,76.11,74.02,69.94,98.09,,70.5
1985:Q1,77.3,72.55,80.43,77.86,71.27,74.65,65.95,64.97,71.33,53.46,50.77,83.6,75.7,41.88,60.95,74.42,59.71,74.66,74.63,69.64,100.65,,70.28
1985:Q2,75.77,72.56,82.41,78.06,71.66,74.73,66.13,65.1,71.26,54.48,50.93,83.63,76.21,42.78,61.29,76.16,59.86,73.86,75.14,70.84,97.67,,71
1985:Q3,75.69,72.95,81.38,78.79,72.63,75.24,66.43,65.65,71.4,54.02,50.98,83.99,78.13,43.28,62.06,76.33,60.25,73.76,75.76,70.21,92.97,,71.01
1985:Q4,77.03,73.76,81.93,78.89,73.12,76.26,66.83,66.27,71.72,55.07,50.93,84.06,78.6,44.19,62.94,77.45,60.42,75.41,76.49,70.73,93.66,,71.57
1986:Q1,76.59,75.48,81.31,79.52,74,78.96,67.52,66.13,72.34,55.23,50.42,83.96,78.35,46.09,64.66,76.79,61.75,76.61,77.61,71.24,90.98,,71.93
1986:Q2,76.08,76.28,81.92,80.07,75.51,79.9,68.01,66.37,72.69,57.13,50.45,84.59,78.77,47.96,65.77,77.79,61.16,77.46,78.24,71.84,90.78,,72.66
1986:Q3,74.8,76.67,81.26,80.86,76.07,80.28,68.51,67.22,73.07,56.85,50.68,85.3,78.86,49.17,66.2,78.75,60.29,77.37,78.66,71.99,90.9,,72.86
