column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1975:Q1,39.1183190451736,44.5681841007314,64.2722382680759,96.3443335992745,113.118848567893,57.1522032602291,36.6217106599795,56.4209240906819,44.228802607496,33.3722801588581,23.2308489851908,78.5615440901257,101.080149109633,97.4120009821331,46.1759759684202,57.0312083135481,58.0525691223611,78.7400919348215,55.2997219976668,,65.9213506954101
1975:Q2,38.5952942298138,45.5893776656441,64.2011900455103,92.3367915937217,112.870524425168,57.6940923033561,36.714630788384,55.6148239074676,44.7283580736993,32.2380316187772,23.2848406707131,75.7512919636852,99.5657705064179,96.5073634396935,43.7055974867673,56.2744392761213,54.9055279394886,79.3553962046092,55.07254948214,,65.3027414322741
1975:Q3,38.5570388908034,45.9304730636641,65.0112810328122,90.6472653783491,113.454014839627,58.9122672516717,36.7069206245458,55.71113902286,45.401863470479,31.6708617824644,23.5357888340564,72.8492576096153,97.8581621820646,98.0919744213579,43.6105145405544,55.7724924319438,53.9065018784839,80.0198915263451,54.5983622082113,,64.872504139363
1975:Q4,37.7946905840812,47.3669393137292,66.02182697293,89.7831969732702,113.834965620255,57.6881537326356,36.580930582285,59.0134717143566,46.0632466798629,30.575977556841,24.0910761795183,70.4614159777217,95.92241226821,99.3947305058792,45.0267012617407,56.0956293165963,52.9850856914946,80.7004739009439,54.7907292449887,,64.6956950515628
1976:Q1,37.9199154804734,51.1423944942561,67.0045647711942,87.5571353718849,114.222860250997,58.2454787610753,36.4021324414221,54.3626362383504,46.4645861376864,30.4875804780493,24.2710031026864,67.4583056492346,93.92138797311,101.695094003675,45.8179628591349,55.2330977973258,51.3362492615262,81.2120751981342,54.80871297245,,64.464609081946
1976:Q2,38.2747124281772,51.8363437557327,68.3585825676119,87.114885777035,115.133246981728,57.3528549768614,36.2050560616233,53.0167096082285,47.407519503425,30.4362150937788,23.7937365050203,64.4013782859579,91.9171794867956,104.002902803366,47.9379411472371,56.8399192911745,49.7834136788922,82.1737914905653,55.9314988790654,,64.8106965715303
1976:Q3,38.334360172345,53.3044367878162,67.8859359955879,83.9775435108501,115.865737190295,57.1778565317839,35.9635108003103,53.1874910220538,47.8861180502822,30.0758035579978,23.8391993632065,61.853386929076,90.9371865197747,105.124389119863,51.9937217856241,56.8443407794737,48.9621508726472,83.2337592390476,56.3988041830645,,64.8940995986748
1976:Q4,37.9767203323283,54.6991920486032,66.3882624526763,87.2827379380205,117.161453275316,58.2564524385843,35.6363253037541,52.4284068924365,48.363874436415,29.0043995583876,24.3980848280254,60.0223250078047,89.9785293699253,109.31096945732,54.9383872844533,57.5366478436525,48.4083030763603,84.3380273543208,56.5027826550387,,64.9755788261723
1977:Q1,37.9292558442128,56.0346723823537,63.8970728233644,85.1092974170383,118.261561525939,57.3295672975644,34.5860481513211,50.5791912098039,49.5485021780274,28.387169043955,24.3117317372913,58.8891846493029,89.0704214977376,108.650518100399,60.7860665130397,57.6890936893724,47.5383322833252,85.8077781953093,57.0744066445705,,65.101654869123
1977:Q2,37.9002034522601,57.4005886144106,62.5356689467972,86.0050411634815,120.086296013692,59.3066155459304,34.5668412712237,50.1542832448089,49.7438446917817,27.7580518722813,24.0098339758297,58.3529652012974,88.6723920341267,111.945090138295,65.0929915127975,57.442184788785,46.0831242977422,86.6870261585894,58.0915989734652,,65.737424972859
1977:Q3,37.7380014236671,58.6543338117133,60.8793613978681,86.7744355219562,121.64350070864,60.338860495796,34.7514015034326,48.7349783791383,50.1714061348924,27.7116489625271,24.5509930506599,57.7812434947587,88.5176090264173,115.089924794508,67.5348673712528,57.4862056743272,44.9010080737355,87.2538465689055,58.9310685692835,,66.3040084769242
1977:Q4,37.5417502246385,62.0539678089098,65.471266773112,86.2647154782627,123.54654588338,62.3061585016428,35.0459474447295,47.9105015172812,50.7886460523612,28.1250797518082,25.921812333139,57.7660663656427,88.9753918255009,119.406917888987,68.619824598625,57.2699213258448,43.3906736356181,87.4357487343136,60.4619529267455,,67.5952341510925
1978:Q1,37.7182715113932,61.5771144330534,65.3547110138966,86.8645322117593,126.421086901658,63.6464488023601,35.9310462541653,47.7915583826588,51.1990745586598,28.3097260333228,27.0794781470569,58.091456650914,88.8144466364281,114.905819703209,69.3738032250412,56.4688902197088,42.5131860398399,87.1332433039723,61.3218507917837,,68.1069790196884
1978:Q2,37.5882742343447,62.9002658354121,65.6395575911427,88.5762851454478,127.905687845389,64.6096671753179,36.3900072086605,47.8978465706248,51.3031829499011,29.0377700392141,29.7296589313507,58.4931229394182,88.9579399015985,118.693784300168,70.2399939413778,54.7812396371364,41.3983714234254,87.307958104338,62.0264945131458,,68.8194652152813
1978:Q3,37.5688168118205,64.5302965842632,65.587129875741,89.7827810349462,129.646547433832,65.0787529566642,36.7597224519103,47.0169624938921,51.4137772866379,30.1394779924089,30.86977143676,58.8847310203083,89.1393892688963,122.127998466533,66.5954114858348,55.9797212080848,41.0970513142873,87.7035714902445,63.0237656827525,,69.5999791663461
1978:Q4,37.1179334493039,65.1490433886632,64.731246253086,91.8666990832778,131.225562159995,64.1792167113685,37.0052608062218,46.97515108867,51.6069640825297,31.3972053787064,29.6022982458106,59.2070086061769,90.4442263939599,131.407128213626,66.6363032887676,55.6400117484432,40.5437849581634,88.384256577871,63.7434532484267,,70.6089931673135
