column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1982:Q1,43.22,50.73,85.27,100.53,130.99,44.82,31.21,52.08,51.93,28.67,28.21,75.99,108.9,135.38,34.97,38.71,53.51,42.43,68.74,60.9,97,,72.69
1982:Q2,43.02,49.44,80.38,98.27,130.5,43.94,30.74,53.17,51.15,29.35,28.4,75.91,110.66,136.11,33.97,37.7,53.29,43.56,67.27,60.72,95.65,,72.53
1982:Q3,41.63,49.7,75.51,97.18,129.36,42.73,30.29,53.72,51,29.31,26.39,74.26,111.57,138.55,33.09,38.02,52.74,43.31,65.62,59.24,95.57,,71.68
1982:Q4,40.55,48.37,70.54,98.91,128.22,43.01,29.9,55.72,50.56,29.43,26.57,72.73,112.53,142.54,32.42,37.26,52.31,42.97,63.84,59.7,93.92,,71.66
1983:Q1,40.36,47.09,70.04,97.46,127.72,45.63,29.54,58,49.97,30.39,26.01,68.79,113.45,156.63,31.79,37.19,52.93,43.61,61.47,60.02,96.99,,72.16
1983:Q2,40.79,46.11,69.07,98.42,126.99,50.43,29.26,59.36,49.27,30.9,26.45,67.95,114.17,162.89,31.37,38.02,52.78,43.59,59.99,59.91,100.43,,72.35
1983:Q3,40.77,44.87,68.46,100.75,124.94,51.01,29.04,61.04,48.71,31.37,27.54,67.17,114.8,168.21,31.04,37.81,51.9,44.24,58.9,59.68,102.41,,72.31
1983:Q4,41.04,44.25,68.38,101.41,123.63,51.58,28.91,62.51,48.2,31.62,27.96,65.75,115.08,168.93,30.88,37.01,51.33,45.34,58.26,59.95,105.45,,72.31
1984:Q1,41.97,44.21,66.74,100.67,121.6,52.82,28.8,62.37,47.75,31.98,27.56,64.92,115.28,163.93,30.9,36.72,52.21,46.34,58.29,59.94,106.15,,71.91
1984:Q2,42.45,44.01,66.36,102.68,120.2,52.95,28.78,63.16,47.37,32.12,26.49,64.52,115.51,163.82,30.88,36.23,54.85,46.69,57.9,60,102.57,,71.78
1984:Q3,44.3,43.28,65.11,102.55,119.28,53.42,28.83,63.72,46.96,32.7,25.73,64.13,115.83,163.46,30.88,36.45,57.4,46.64,57.42,60.21,97.28,,71.75
1984:Q4,43.28,42.64,63,102,118.15,55.34,28.99,62.76,46.59,33.03,25.25,63.77,116.14,161,30.97,36.51,60.23,46.45,57.03,60.59,91.98,,71.59
1985:Q1,44.84,41.85,62.22,104.07,115.73,56.21,29.14,62.84,46.18,33.12,25.42,62.41,116.08,161.1,30.62,35.16,61.15,45.44,56.26,60.55,85.53,,71.19
1985:Q2,44.03,41.52,62.1,103.04,114.93,58.44,29.4,63.9,45.85,33.55,25.33,61.74,116.7,159.78,30.93,35.89,61.67,45.02,55.96,60.9,80.28,,71.21
1985:Q3,44.43,41.98,62.04,104.49,115.14,62.76,29.84,63.84,45.83,33.44,25.33,61.49,116.99,156.42,31.4,35.33,64.44,45.04,55.77,61.55,76.91,,71.42
1985:Q4,44.63,42.24,63.76,105.12,114.7,64.41,30.37,64.29,45.92,34.42,25.07,61.16,117.41,153.63,32.1,36.28,69.07,45.76,56.03,61.98,73.81,,71.68
1986:Q1,44.23,42.49,63.63,108.4,115.65,67.47,30.76,65.39,46.24,35.31,24.82,61.19,117.56,150.62,33.52,36.4,75.59,45.72,55.53,62.53,67.8,,71.99
1986:Q2,45.17,42.94,64.01,107.2,116.87,67.82,31.41,64.42,46.52,36.43,25.44,61.43,118.45,149.22,34.33,36.79,78.53,44.97,55.99,63.68,64.5,,72.75
1986:Q3,44.51,43.98,64.39,109.27,116.55,65.88,32.42,65.15,46.95,37.27,24.83,61.75,119.3,146.63,35.07,37.97,79.82,43.95,56.68,64.19,61.95,,73.1
1986:Q4,43.72,44.47,65.34,111.18,116.33,66.37,33.53,66.03,47.24,38.23,24.38,62.03,120.75,146.57,35.78,37.96,80.08,42.75,57.82,64.95,61.11,,73.74
1987:Q1,43.49,44.85,66.25,111.41,115.56,60.61,34.66,66.93,47.57,39.32,24.1,60.55,122.3,142.93,35.76,38.41,76.16,43.72,59.06,65.23,60.02,,73.89
1987:Q2,43.3,44.69,67.92,115.31,115.14,59.94,36.29,66.16,48.14,40.65,23.39,60.98,124.41,141.47,36.56,38.73,81.69,45.14,59.8,65.56,60.57,,74.54
1987:Q3,43.55,45.05,69.45,117.16,114.71,59,37.96,68.78,48.91,41.78,24.14,61.4,129.25,141.76,37.51,39.02,78.96,46.58,60.64,65.58,60.34,,75.42
1987:Q4,44.63,45.51,70.63,118.03,114.72,57.92,40.02,70.77,49.85,43.97,24.54,62.02,131.88,147.96,38.61,39.54,78.19,48.29,62.75,65.67,61.17,,76.43
1988:Q1,45.71,46.39,70.79,123.18,116.02,57.97,42.06,71.31,50.95,45.91,24.87,62.96,132.6,151.67,39.84,39.08,78.23,48.63,64.37,66.04,60.93,,77.31
1988:Q2,47.48,47.88,71.25,127.32,115.91,57.27,43.76,75.93,51.93,47.84,24.59,58.92,133.94,156.88,41.22,39.88,76.99,49.73,66.2,66.55,60.28,,78.03
1988:Q3,51.5,48.36,73.05,130.78,115.22,57.79,45.05,78.99,52.89,52.91,26.05,58.53,134.67,161.37,42.7,40.44,77.12,48.48,68.89,66.33,60.41,,78.79
1988:Q4,55.46,48.35,74.45,140.45,116.06,57.48,46.75,86.65,53.91,55.8,25.38,61.8,135.9,159.15,44.28,40.88,76.41,48.25,70.47,66.55,59.85,,79.77
1989:Q1,59.27,50.17,76.35,140.72,115.54,55.96,48.78,88.7,55.1,56.82,25.01,71.38,137.87,164.22,46.44,41.23,73.52,48.52,72.89,66.45,60,,81.01
1989:Q2,59.09,51.27,78.95,142.83,115.23,55.34,50.61,93.48,55.97,57.64,25.77,75.27,138.74,171.62,48.04,41.61,69.68,48.43,75.04,66.44,60.11,,81.87
1989:Q3,58.43,51.87,78.17,143.09,115.8,54.06,52.31,95.8,56.96,57.97,26.12,74.49,141.19,171.46,49.49,42.45,66.94,48.95,76.1,67.34,60.07,,82.66
1989:Q4,57.5,53.31,79.33,143.81,115.87,52.99,53.37,92.46,57.87,56.47,27.83,77.66,144.71,169.73,50.81,42.79,65.38,49.05,75.97,67.58,58.88,,83.32
1990:Q1,56.93,55.22,81.95,141.05,113.6,51.25,55.1,90.42,58.78,55.28,28.75,82.71,149.85,175.49,52.16,42.6,63.3,49.27,77.86,66.92,58.34,,84.07
1990:Q2,56.44,54.67,83.86,136.35,113.47,50.15,55.46,91.11,59.59,53.72,29.62,88.16,154.27,181.37,53.26,43.01,62.56,49.38,77.32,66.44,58.48,,84.89
1990:Q3,55.63,55.24,80.02,134,113.81,48.76,55.63,88.01,60.13,52.77,29.52,86.67,159.73,182.65,54.16,41.98,60.51,49.36,76.48,65.85,57.85,,85.05
1990:Q4,54.51,56.01,77.92,129.57,113.56,48.14,56.16,84.39,60.55,51.42,28.95,88.1,161.55,186.99,54.87,41.51,57.86,48.09,74.18,64.92,57.27,,84.85
1991:Q1,54.46,56,74.83,127.13,114.42,48.66,57.86,82.11,61.25,50.28,29.32,88.89,162.01,184.89,54.97,41.39,56.84,48.52,76.27,65.04,56.39,,84.89
1991:Q2,54.89,55.52,74.35,126.23,114.1,48.71,59.47,77.56,61.41,48.41,28.76,92.06,162.18,185.43,55.66,41.8,55.02,47.7,73.81,65.07,56.39,,84.95
1991:Q3,56.13,56.51,75.85,128.06,112.56,48.99,59.7,73.62,61.11,47.7,29.33,91.37,161.11,180.51,56.37,41.68,53.95,47.3,72.89,64.55,56.44,,84.3
1991:Q4,55.52,57.48,77.22,123.69,111.29,48.89,61.67,70.99,60.58,47.28,29.62,92.66,158.9,171.56,57.08,42.6,54.57,47.1,72.96,65.09,56.63,,83.93
1992:Q1,55.05,58.59,76.55,120.27,112.1,48.56,57.72,66.95,59.07,46.43,29.32,91.68,156.63,164.12,59.11,43.76,53.23,46.73,69.86,65.11,54.09,,83
1992:Q2,55.2,59.85,76.02,118.55,111.62,48.17,55.57,63.38,58.47,45.03,29,93.89,153.76,156.74,59.49,42.35,54.02,46.84,67.7,64.61,51.18,,81.94
