column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_rpdi
1975:Q1,73.50038902117893,65.96758640588942,72.35292719712729,74.44983824854334,66.43110058939827,72.0655280358424,69.32062222585797,52.59693105871464,67.27957704406529,51.79470123486641,52.69279484489027,63.35054699144253,63.916862365801094,26.103948933652617,39.512914854101844,79.92000037079251,48.331735260205264,82.58155449682714,74.22623683800897,57.43472101650884,94.33210409866253,,61.08646695734803
1975:Q2,72.13018829915838,67.71687385702604,73.04703625245591,73.38027589411381,67.08576401773375,73.52165854278611,70.17305838474822,52.89035360413732,67.19683238575644,50.34184274017469,52.032360957247164,65.32964143694933,64.61205418386392,26.558100796984178,38.46366927678659,81.49736276129637,49.215193638165026,80.8307280129357,74.69984628200316,59.81962696506619,95.09928690721942,,62.292273702948066
1975:Q3,71.61268614027045,69.23336458694604,74.035286750824,72.62200383750671,67.82470880974076,74.66226095258938,70.83113576688429,53.38406155771708,67.46673565069946,50.06270418050159,51.320757523301815,66.8533536152065,65.30172912519467,27.49436947151993,38.59934763765442,81.80768481251239,49.979063474932474,80.3309406117688,75.1142562314196,58.698086919684116,102.27770748402367,,62.2700361073605
1975:Q4,69.9488013301158,70.65141956916283,73.98447207932864,72.20340075781328,68.02581099241422,75.59047450020851,71.35102866815957,56.07487600536059,67.76769526440982,49.15285392444275,50.61612199124428,68.30229462278928,65.81620271005818,28.24686030817387,39.807326007395304,83.22728241780422,50.91579932104494,79.42793318475242,75.45982052891135,58.991221335006536,104.48425903866821,,62.601197680703386
1976:Q1,69.51943500082824,72.21670588828506,74.41354188030438,72.12264813958015,68.03557558432715,76.51330228267574,71.41241702376637,52.4645974895579,67.79299582376012,50.01519409173552,49.89632494809092,68.60763954044012,66.11446484505649,28.93506054089765,41.17403119428649,83.59861132313972,51.80270807785692,77.9404742591921,75.75143572640438,59.57830902430638,96.86841375802665,,62.892313179104356
1976:Q2,69.6814089980913,72.97439540895414,76.17251046820891,72.11240650659764,68.22293548903409,77.21375593505623,71.74964952942628,52.82563609955957,68.51663014982555,49.655449573702214,49.57886429166391,68.34827645728328,66.06827694685329,29.68668537320773,42.449455292325965,83.75901406114437,52.628696274496534,76.3508983126693,76.00925637898303,59.7905420944145,95.25576749925366,,63.09954754598147
1976:Q3,73.2539602056101,73.29418498460532,73.90750939817393,72.13256685113352,68.42923218035614,77.78254619206828,71.89301589237101,52.357946586895295,68.69134707993288,50.52272740651543,49.56232817661475,68.2873534140923,66.38876695242196,30.038411453599068,43.196903179397374,84.62573072830611,53.161005586679515,75.89484223591512,76.20961211825907,60.057717382403496,94.5241670302842,,63.35315338694201
1976:Q4,72.30406479005045,73.22220688622187,76.09630704842994,72.23635319750619,68.9391046502521,78.12186599630952,71.90069762890938,52.26793769284213,68.87011928539131,49.03784760845192,49.71959416775757,68.3400082989185,66.61293687087961,31.182454651689923,43.208832204053735,83.78726716442068,53.67154966434654,75.58613016583178,76.46650136969737,60.21977571637617,94.31315510042012,,63.496637621710676
1977:Q1,71.75520416008762,72.11198563345651,74.78531405790453,72.42456842184725,69.50818811377661,78.2500716470255,71.04252549727528,51.65892444576803,69.5026249085455,47.96841105838259,50.34607845512879,68.9709064525235,66.45050056413935,30.297058549810497,43.00826768956907,85.05316085401685,54.055579052498494,74.17359333224489,76.47413431046186,59.98682604847179,103.6753223534792,,63.441106734806034
1977:Q2,71.31321305001201,71.84525009710912,75.77149880772853,72.7525339092179,70.26188259071351,78.49337157514572,71.16136522751279,51.40649017523539,69.54322255591376,47.79159165777728,50.80391617234761,69.7635504775004,66.69255307047486,31.183320524327105,42.880737719107024,83.99024872911903,54.46737290059503,72.31686912126614,76.39029393846933,60.38595984712957,99.12340563652145,,63.70794770200214
1977:Q3,69.85436236437938,71.83770323129832,74.68491824903789,73.19729084559764,70.8122106621755,78.83550888559398,71.33492968219055,51.23041017399677,70.18533745815397,47.98319838449089,51.566900945668145,70.21324453352447,67.1439778988902,32.09942571058184,43.10109710763681,85.3072259266379,55.05878816104984,71.79416265391197,76.31663316271651,61.01143387558763,94.68823621028234,,64.0770681126364
1977:Q4,70.640872274248,72.07819664723682,75.81006058683138,73.83326776882592,71.36774324158803,79.20421709612413,71.56027251132488,51.74135763816904,71.35063350753782,50.01261328858878,52.61198804733099,70.89571802822435,68.11572905483416,33.40176118439495,43.49264287014227,85.49913560986339,55.17050046329437,71.38100218172964,76.06537800735688,61.94973181117393,95.85919966325183,,64.99885606130555
1978:Q1,72.67437289810789,72.88139416293708,77.42398655246963,74.64168830439857,72.31020559206489,79.95370169500289,72.32400207415282,52.37878701477403,73.35313133286571,50.06522630953602,54.10746603948867,70.77358765965124,68.54963038941582,33.21093521091956,44.42525811941002,86.55724487357392,55.084968478629456,71.88987960527919,75.99188026960893,62.068990327633,97.46431872324887,,65.49104985387604
1978:Q2,71.6577353491602,73.24526533237578,76.91773310639303,75.2059525217457,72.75724651358212,80.21009241823803,72.48829435352535,53.04928070650208,73.73567266194495,51.89921559504643,55.07370616896759,71.76063995028112,68.79778524732107,33.98578621027767,45.06389951453538,86.7559436303445,54.34235621625173,72.14292288965159,75.74682234121107,62.50263702418907,89.18668862309904,,65.82415446864563
1978:Q3,73.4113193049012,73.64420381325601,76.42236082857792,75.48065899921863,73.57733941319279,80.26368345284416,72.46841893299901,54.17676603009712,73.87191502261439,52.5823812101178,55.58737453444618,72.71711786696527,69.00471199813373,34.34293755157976,45.328887783826175,87.33726236873859,53.332498972759105,73.4158270815967,75.762028751177,62.72892073600014,95.14703187238128,,66.2412289177352
1978:Q4,72.1543472727092,74.09737003115461,76.97738499063446,75.4984947266639,74.36227204081283,80.02589316249156,72.27832778560449,55.07263710299355,74.00375740412912,52.32226090183065,55.67818770208653,73.69561749994986,69.73271438282376,36.07199994622734,45.5875043587438,87.62639143399278,53.82251303566469,74.24722267801522,76.02120814894809,62.92671260360119,92.18609001284021,,66.54808805046657
1979:Q1,73.41847201165662,74.25830808248364,76.95188542075135,75.14372470414354,74.65178339362222,79.75722331275028,71.76502837987478,55.7722435656097,73.59975515830688,53.31270804869603,55.48260441575089,74.57349505698761,70.37606281720029,35.84986662457151,45.96104926167891,88.95357218736446,54.384646122358085,75.96030274094623,75.71678232134012,63.337361769564296,97.20207355831099,,66.9962041262938
1979:Q2,72.82777967854528,74.75823336689035,78.69302233613467,75.06265147171355,74.5382159825064,79.41558273828713,71.4404731288272,56.853873057255065,73.35364777882144,54.06209899371168,55.18744957539718,75.37474579881109,70.51063087884202,35.32087352851942,46.50845914022741,88.26782770444954,54.85167154482456,75.71162987984246,76.05056076107039,62.611499230422204,90.873305202219,,66.72669857686869
1979:Q3,71.87309798550345,75.31865772802013,77.93252594074343,75.10229490176559,74.48585972043351,79.11057814646516,71.04651460549489,57.69544156167573,72.95146807535599,53.96012591108942,54.917259254683835,76.02479877735713,70.2637161463503,35.878474933884384,47.1855727660825,86.8335486428338,55.849268506145116,74.80426009329504,76.22160834958598,62.696017525649154,97.94945509857111,,66.76431484995028
1979:Q4,71.83303047952586,75.82057906876733,78.95744295907497,75.25739497912318,74.78185924230809,78.6704164568715,70.57171956302179,58.58828376876565,73.2897952017844,56.24166474990914,54.48954219277006,76.4834869113392,69.94046555813843,35.32555338242889,47.9689120983235,85.03342665749138,56.935882154970756,74.7449496530363,76.26248597985415,62.87440119570192,100.07421004761883,,67.01769579160093
1980:Q1,71.96167980468839,77.41654946517049,79.10269296547645,75.12781349013926,74.99028485502312,78.21694555029212,69.67801944069224,59.17593373523074,72.60963489898627,54.66542292638941,53.181842803511415,75.83285446789564,69.69721549711996,32.50556899364776,48.89885935081266,79.9444788757674,57.3754430683177,73.0654656042029,77.09752355205683,62.77579195064311,114.63874403494289,,66.77839523329207
1980:Q2,73.26961595725886,77.7269932604052,79.31497770491563,75.74320737381554,74.00465005745843,77.69852348384386,69.31600325070875,59.757933651388164,72.6764923710277,54.85935438018591,52.889802051131355,77.8145952601975,69.76152593740137,32.13355191844812,49.968302493832226,77.52673645615194,57.85650325286552,72.16728096204345,76.73053649569138,61.66130398778104,101.35045149333695,,66.1793293952658
1980:Q3,72.90096992851215,77.92978609682943,78.97238692411314,75.50833606052241,73.83123178256226,77.1806430041209,69.04244060246275,59.68455931271602,72.92351482587043,55.52204342684442,52.79547174142601,77.68107884066552,70.29893215289985,31.536039173556453,50.84125330771353,76.20132892667364,58.65198762433688,72.44754348498527,76.5363325243884,62.03996592927881,96.53752127605097,,66.29663868731878
1980:Q4,73.6402699302859,77.86459114989209,79.09035942763022,76.59415418473421,73.85863226401203,76.52972523129789,68.82157717114924,59.48412212232921,73.170060066549,54.62826957529334,52.783253864284575,79.50383231544296,70.92474316332051,30.92936362961641,51.35179923496119,75.89453371284782,59.01141696048341,73.44863150825037,76.15579087732749,63.09778592410057,97.14434447292427,,66.85500638669672
1981:Q1,73.10569822381058,77.6945266179902,80.40363946081933,76.6593846035403,73.84900696184778,75.40691298769994,68.8788953121756,59.170641950244615,73.70980964329537,55.268058647233616,54.728215198473954,81.0117464681699,71.15094997198278,32.5906632390104,52.239934897195795,76.07584404969505,58.97831011820883,75.39076368602518,75.6165461755257,62.745463283677424,97.48198081547908,,66.99974042287634
1981:Q2,74.4178195868979,77.32203763273627,80.4850950475529,76.50424166822668,73.64616104086983,75.14872084402299,68.7677466632289,58.88809458144088,73.79894700489956,54.17700979059325,54.56557453333241,81.65524350233808,71.9087419791806,32.69539548827504,52.92732474298406,76.0225177286113,58.72757617090107,75.04481888384542,75.0883299711857,62.53114238286498,95.90265159352205,,66.95498189213728
