column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1975:Q1,72.5031228620872,65.7721241219559,72.3679496926841,73.8400955178921,65.243951712481,70.0810789903317,72.041088489817,52.8311999790023,66.0510792482188,49.5335393957888,52.8679253612422,62.1872722053927,62.6126641559328,25.44410983979,37.1514063015396,76.5956871169109,46.9846358483514,80.4924795381638,75.6472077947774,57.2286104904998,98.3466793256674,8.4305880278213,48.0870495459715,,60.269639795825036
1975:Q2,71.7377749977643,67.9439309166856,73.3767460248754,73.1438915270568,65.8923980312697,71.5158291083646,71.6337771138231,53.1358001609114,66.2028082972506,48.5810404965759,52.1219815236083,64.1091955165713,63.1516171339855,26.0373920502397,36.7088147053554,78.1804062635396,48.1720041861173,78.8707968677832,75.9696351942872,58.7206208243225,98.9378590757704,8.59586978378606,52.5858088812358,,61.15657948572589
1975:Q3,70.942731324601,69.8244873053582,74.4396370156765,72.7174959064503,66.5978206867752,72.6509919061096,71.4996622314021,53.6641543457289,67.2556254870853,48.5660560743622,51.4059815513396,65.6426826100944,63.7605194696606,26.9195319698443,37.1351233412393,78.4674806082197,49.3389186984047,78.5067187581559,76.228655432091,58.2230499730246,99.0914176777613,8.71045015576674,54.7729505285355,,61.31745094818933
1975:Q4,69.8921493081448,71.3755492600193,74.1724821301527,72.4818844133758,66.7967072934625,73.6011098725589,71.6739148488543,56.3469980680461,68.2754380908958,48.0340907239256,50.7041701402655,67.0429365671844,64.292523029553,27.4207952233946,38.2613724456559,79.8128160888331,50.4577476202251,77.6172566864706,76.47205773354,58.2878695765254,99.323209747241,8.84298867889862,52.6145366053346,,61.56716539013167
1976:Q1,69.478786601274,72.6223729224096,74.4945130084586,72.0105062554638,66.8375414120415,74.4008016245898,72.8299325993739,52.7091154049579,67.523690821451,48.2043435462799,50.0217123838352,67.3498349085223,64.7108285731828,28.3463673221723,39.6302173240864,80.1461276132888,51.5682888841544,75.9707590135421,76.9792437412423,58.5803984417469,98.4195428555784,8.99412978114358,50.5775305143903,,61.78486546924544
1976:Q2,69.872148357133,73.3043728643903,76.3093878630284,71.9657598008027,66.9802630180925,75.10480278709,73.0821958440484,53.0795146827935,67.6385559521171,47.9788427936779,49.6729074740599,67.0747699325195,64.8509570716786,29.1725148276783,40.8706469355563,80.3468647434241,52.4951046884857,74.4848346559735,77.2718296969671,58.6824947239583,97.1764450103362,9.08131873319627,46.6021149093614,,61.92903110744873
1976:Q3,71.4943731764632,73.608108876158,73.5590748629165,71.9926625411908,67.1911418511065,75.6811400310627,73.1667340742382,52.6258844519039,68.3075516773135,48.6982504460489,49.630262844957,67.0464606589155,65.0617662467971,29.3983153580234,41.5990890420521,81.1620268239139,53.3003273451701,74.1362324616613,77.4443951088943,58.8066517150938,96.4612430338564,9.18979997673627,43.6964792249211,,62.050975000063566
1976:Q4,71.4028989806371,73.6232988944426,75.5515658788486,72.1598381958238,67.7946239431756,76.0714641186143,73.1102541137095,52.4956475639619,68.4797931298458,47.8192869284351,49.7877790670875,67.0776875773765,65.1853230414656,30.3550564153983,41.6318956516927,80.3455945678156,54.0067208466933,73.8378222479788,77.5239204857248,58.8695631428614,97.0583964307621,9.31995346610333,43.7348437486599,,62.199205423776256
1977:Q1,71.0018313830813,72.0220359603527,74.3997273948984,72.1952589709421,68.3037353105096,76.0869352909812,72.4896393971064,51.9195942978285,68.5270228959433,46.7484963300589,50.4450251849958,67.7067523441115,65.1450870992605,29.7517978411691,41.3935892537647,81.5795335346181,54.6190467149304,72.2992311458171,77.9934027282886,58.777075466694,98.5314811546948,9.39828409071856,44.4214715602084,,62.10308824416082
1977:Q2,70.4881581281515,72.1003769305371,75.4272504756882,72.653717272838,68.9230684533968,76.3516037005444,72.4756101062741,51.6496098916238,68.5748183883769,46.4832061786066,51.0243593303462,68.4681490302593,65.3225442618321,30.6207212859118,41.3145501293418,80.5589513229041,55.1419208906387,70.5886454331234,77.6646488018515,59.1569501086169,97.6851115193078,9.49497477004905,46.4333059071953,,62.393194541737
1977:Q3,69.8569518218965,72.3716271138928,74.0514674026233,73.1957825983603,69.4896095203299,76.6964028925281,72.5925291425725,51.4798832979195,69.2311185082492,47.224562002266,51.8326018691265,68.9333103113812,65.7613267390318,31.2894748076929,41.5511224282947,81.8213390590482,55.578278371912,70.119220192226,77.3331439247481,59.7483337693233,96.6681858206014,9.61491274496639,46.6717130481938,,62.82542997724771
