,address1,address2,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Fabricio  Mitre', 'title': 'CEO & Vice Chairman', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
1,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Rodrigo Coelho Cagali', 'title': 'CFO, VP of Operations & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
2,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Ivan dos Santos Ferraz', 'title': 'Director of Technology & Innovation', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
3,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Thiago Andrade Cassa', 'title': 'General Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
4,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Ms. Juliana  Monteiro', 'title': 'Product and Licensing Director & VP of Incorporation and Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
5,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Gustavo  Gagliardi', 'title': 'Chief Engineering Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
6,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Henrique Fabio Oliveira dos Santos', 'title': 'Commercial Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
7,"Alameda Santos, nº 700",5º andar Jardim Paulista,São Paulo,SP,01418-002,Brazil,55 11 4810 0500,https://www.mitrerealty.com.br,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Mitre Realty Empreendimentos e Participações S.A., together with its subsidiaries, engages in the development, construction, and sale of residential and commercial real estate properties for middle-class and upper middle-class customers in Brazil. The company was founded in 2005 and is based in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Ms. Gabriela  Canfora', 'title': 'New Business Director & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.96,3.95,3.86,4.03,3.96,3.95,3.86,4.03,0.14,0.035,1724371200,0.9806,1.249,5.7536235,2.3772457,954600,954600,1202558,943720,943720,3.88,3.89,419926752,3.34,7.71,0.42792293,3.807,4.5777,0.642,0.16212122,BRL,881461312,0.07397,52672687,105775000,0.45936,0.12589,108980000,9.235,0.4298863,1703980800,1735603200,1711843200,-0.944,72586000,0.69,1.67,0.898,27.993,-0.43266475,0.21656322,0.02775,1724371200,SAO,EQUITY,MTRE3.SA,MTRE3.SA,MITRE REALTYON  ED  NM,Mitre Realty Empreendimentos e Participações S.A.,1581426000,America/Sao_Paulo,BRT,f4fcc185-5d1d-3443-87c0-e976932fa379,finmb_647701878,-10800000,3.97,7.0,6.5,6.75,6.75,2.7,hold,2,171299008,1.619,31489000,598513024,1.285,2.608,981313984,59.131,9.277,0.00736,0.07782,-10441000,-12393000,-0.944,0.288,0.19584998,0.03209,0.032479998,BRL,
