,address1,address2,city,state,zip,country,phone,fax,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Claudio  Gerdau Johannpeter', 'age': 60, 'title': 'Member of Executive Officers Board & Chairman', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
1,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Gustavo Werneck Da Cunha', 'age': 50, 'title': 'Chief Executive Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
2,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Guilherme Chagas Gerdau Johannpeter', 'age': 52, 'title': 'Deputy CEO, Member of the Executive Officers Board & Vice Chairman', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
3,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Rafael Dorneles Japur', 'age': 41, 'title': 'Executive VP & Investor Relations Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
4,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Paulo Roberto Perlott Ramos', 'age': 70, 'title': 'Director of Marketing, Sales and Metallics', 'yearBorn': 1953, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
5,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'André Araujo Hofmeister', 'title': 'Director of Planning and Business Development', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
6,"Avenida Doutora Ruth Cardoso, 8501",Floor 8 Set 1 Part Pinheiros,São Paulo,SP,05425-070,Brazil,55 11 3094 6100,55 51 1323 2000,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"Metalurgica Gerdau S.A., together with its subsidiaries, produces and supplies long and special steel products in Brazil, Latin America, and North America. The company offers rebars, bars, profiles and drawn products, billets, blocks, plates, wire rod, structural profiles, iron ore, heavy and light structural profiles, stainless steel, as well as square, round, and flat bars. The company was formerly known as METALÚRGICA HUGO GERDAU S.A and changed its name to Metalurgica Gerdau S.A. in June 1965. Metalurgica Gerdau S.A. was founded in 1976 and is headquartered in São Paulo, Brazil. Metalurgica Gerdau S.A. operates as a subsidiary of Indac - Indústria, Administração e Comércio S.A.","{'maxAge': 1, 'name': 'Mr. Francisco  Deppermann Fortes', 'age': 60, 'title': 'Deputy CEO and Executive VP of HR, Management & Organizational Development', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.57,10.57,10.36,10.61,10.57,10.57,10.36,10.61,0.76,0.0719,1715817600,0.7404,9.21,1.333,5.033654,5.424871,5498700,5498700,7440238,5487380,5487380,10.45,10.48,10902830080,9.6,13.8,0.16456008,10.6162,10.4809,1.43,0.13528855,BRL,51818094592,0.03247,702116022,667595008,0.016390001,0.60937,1041340032,17.134,0.6110657,1703980800,1735603200,1711843200,-0.374,2151272960,2.08,1.93,-0.69,2:1,1213315200,0.782,5.184,-0.22222221,0.21656322,0.19,1715817600,SAO,EQUITY,GOAU4.SA,GOAU4.SA,GERDAU MET  PN      N1,Metalurgica Gerdau S.A.,946900800,America/Sao_Paulo,BRT,a32d30d5-b820-36fb-9cf6-2b8d80e166d7,finmb_877853,-10800000,10.47,15.0,10.3,12.6,12.5,2.0,buy,3,6232660992,6.035,9996528640,12374197248,1.263,2.825,66254405632,23.59,64.156,0.061139997,0.12523,3482937600,10723792896,-0.374,-0.141,0.1528,0.15088001,0.11607,BRL,
