,address1,city,state,zip,country,phone,fax,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Mr. Sergio Pancini de Sá', 'age': 60, 'title': 'President & Director of Investor Relations', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
1,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Mr. Claudio Cesar Braga', 'age': 55, 'title': 'Financial Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
2,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Mr. Daniel  de Oliveira Camargo', 'title': 'Accounting & Tax Manager', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
3,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Mr. Philipp  Kuckuck', 'title': 'Vice President of Corporate Finance', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
4,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Mr. Daniel  Alves', 'title': 'Marketing and Corporate Communication Manager', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
5,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Fábio Lopes Peres', 'title': 'Executive Director of Finance', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
6,"Av. Ernst MAHLE, 2000",Mogi Guaçu,SP,13846-146,Brazil,55 19 3861 9100,55 19 3861 9166,https://www.mahle.com/en,Auto Parts,auto-parts,Auto Parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"MAHLE Metal Leve S.A., an automotive parts company, manufactures and sells components for internal combustion engines and automotive filters in South America, Europe, Central and North America, Africa, Asia, Oceania, and the Middle East. The company offers air conditioning systems, air management systems, cylinder and engine cooling components, electronics, mechatronics, piston systems, valve train systems, and, oil and fuel management systems for passenger cars and commercial vehicles. It provides climatic wind tunnels, engine testing, engineering, module testing, thermal management, and transmission services. MAHLE Metal Leve S.A. was founded in 1920 and is headquartered in Mogi Guaçu, Brazil.",7196,"{'maxAge': 1, 'name': 'Jan-Frederek  Thiele', 'title': 'Director of Corporate Controlling', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,33.05,32.9,32.5,32.95,33.05,32.9,32.5,32.95,7.99,0.24180001,1714435200,1.3722,7.24,0.838,5.6637926,7.5171623,185400,185400,385075,310210,310210,32.57,32.78,4452456448,29.01,51.737537,1.0265304,32.3044,33.69247,7.991,0.24178518,BRL,5130006016,0.1758,52865632,135539008,0.60995996,0.20778,136932992,8.172,4.0198236,1703980800,1735603200,1711843200,0.077,762502976,5.8,4.37,1.14,3:1,1337040000,1.183,6.171,-0.24826711,0.21656322,1.632479,1714435200,SAO,EQUITY,LEVE3.SA,LEVE3.SA,METAL LEVE  ON      NM,MAHLE Metal Leve S.A.,946900800,America/Sao_Paulo,BRT,7e57d294-6049-33e3-97d5-4b7959956b08,finmb_878137,-10800000,32.85,33.0,33.0,33.0,33.0,3.0,hold,1,256887008,1.895,831289984,905057984,0.986,1.682,4337383936,81.548,32.983,0.14694001,0.53725,401612640,733817984,0.019,-0.001,0.29093,0.19166,0.19705,BRL,
