,address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,grossMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1450 Paulista Avenue,9th Floor,São Paulo,SP,01310-917,Brazil,https://www.bradespar.com.br,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,"Bradespar S.A., through its interest in VALE, operates as a mining company in the production of iron ore and pellets, and nickel. The company also produces copper, thermal and metallurgical coal, manganese, platinum group metals, gold, silver, and cobalt, as well as raw materials for the steel industry with applications in the stainless steel industry, and metal alloys used in the production of various products. In addition, it operates logistics systems, including railways, ports, and terminals, as well as engages in power generation business. The company was founded in 1942 and is headquartered in São Paulo, Brazil.","{'maxAge': 1, 'name': 'Mr. Fernando Jorge Buso Gomes', 'age': 67, 'title': 'CEO, Chief Investor Relations Officer & Member of Executive Board', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,17.95,18.05,17.84,18.06,17.95,18.05,17.84,18.06,1.96,0.1091,1714435200,0.4621,10.2,0.832,5.1310544,60300,60300,75782,70250,70250,17.88,18.04,7256283136,17.1,25.15,457.6364,18.327,20.3533,2.699,0.1503621,BRL,6348018176,92.80026,303321206,137990000,0.77863,0.07688,402903008,20.896,0.86188745,1703980800,1735603200,1711843200,-0.553,1471441024,3.51,11.295:10,1632182400,400.354,-0.19071233,0.21656322,0.740551,1714435200,SAO,EQUITY,BRAP3.SA,BRAP3.SA,BRADESPAR   ON      N1,Bradespar S.A.,946900800,America/Sao_Paulo,BRT,7a01fe70-d065-3e30-9ab4-f4664908209f,finmb_1078849,-10800000,18.01,none,710878976,1.808,2813000,12.257,12.263,15856000,0.034,0.04,-0.0038,0.18806,-556608512,1080713984,-0.553,1.0,0.61094004,BRL,
1,1450 Paulista Avenue,9th Floor,São Paulo,SP,01310-917,Brazil,https://www.bradespar.com.br,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,"Bradespar S.A., through its interest in VALE, operates as a mining company in the production of iron ore and pellets, and nickel. The company also produces copper, thermal and metallurgical coal, manganese, platinum group metals, gold, silver, and cobalt, as well as raw materials for the steel industry with applications in the stainless steel industry, and metal alloys used in the production of various products. In addition, it operates logistics systems, including railways, ports, and terminals, as well as engages in power generation business. The company was founded in 1942 and is headquartered in São Paulo, Brazil.","{'maxAge': 1, 'name': ""Mr. Marcelo Santos Dall'Occo"", 'age': 57, 'title': 'Executive Officer & Member of Management Board', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,17.95,18.05,17.84,18.06,17.95,18.05,17.84,18.06,1.96,0.1091,1714435200,0.4621,10.2,0.832,5.1310544,60300,60300,75782,70250,70250,17.88,18.04,7256283136,17.1,25.15,457.6364,18.327,20.3533,2.699,0.1503621,BRL,6348018176,92.80026,303321206,137990000,0.77863,0.07688,402903008,20.896,0.86188745,1703980800,1735603200,1711843200,-0.553,1471441024,3.51,11.295:10,1632182400,400.354,-0.19071233,0.21656322,0.740551,1714435200,SAO,EQUITY,BRAP3.SA,BRAP3.SA,BRADESPAR   ON      N1,Bradespar S.A.,946900800,America/Sao_Paulo,BRT,7a01fe70-d065-3e30-9ab4-f4664908209f,finmb_1078849,-10800000,18.01,none,710878976,1.808,2813000,12.257,12.263,15856000,0.034,0.04,-0.0038,0.18806,-556608512,1080713984,-0.553,1.0,0.61094004,BRL,
